"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.ortholog.species","Tissue","Comments","Primary/Inferred","Inferred.from.","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","T.aestivum orthologs","Z.mays orthologs","G.max orthologs","P.trichocarpa orthologs","S.bicolor orthologs","S.italica orthologs","S.viridis orthologs"
"S.italica","Seita.5G398800",NA,"S,Se",NA,NA,NA,NA,"Inferred","AT1G36370","AT1G22020,AT1G36370","Medtr2g006570","LOC_Os01g65410","Traes_3AL_4020ECFB3,Traes_3B_AEE1A6778","GRMZM2G452630","Glyma.08G187800,Glyma.12G170300","Potri.001G212000,Potri.002G090200,Potri.005G170800","Sobic.003G373600,Sobic.003G373600","Seita.5G398800",""
"S.italica","Seita.2G440200",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr1g084050,Medtr2g034240,Medtr7g112130","LOC_Os07g48980","Traes_2BS_CB79BAFB1","GRMZM2G050108","Glyma.03G231200,Glyma.09G036400,Glyma.19G228400","Potri.005G014300,Potri.005G017300,Potri.010G143100","Sobic.001G151400,Sobic.001G151400","Seita.2G440200",""
"S.italica","Seita.9G045300",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr1g084050,Medtr2g034240,Medtr7g112130","","","","Glyma.03G231200,Glyma.09G036400,Glyma.19G228400","Potri.005G014300,Potri.005G017300,Potri.010G143100","","Seita.9G045300",""
"S.italica","Seita.9G429600",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430,LOC_Os03g19420","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr1g084050,Medtr2g034240,Medtr7g112130","LOC_Os03g19420,LOC_Os03g19427","Traes_2AS_F55243E0C,Traes_2BS_98815CE06,Traes_4BL_BB0FC3BD3,Traes_4DL_4E10A6DFB,Traes_4DL_AF0869DDB,Traes_6AS_5D0B8CF891,Traes_6DL_1470C4162","GRMZM2G030036,GRMZM2G124785","Glyma.03G231200,Glyma.09G036400,Glyma.19G228400","Potri.005G014300,Potri.005G017300,Potri.010G143100","Sobic.001G395900,Sobic.001G395900","Seita.9G429600",""
"S.italica","Seita.4G181500",NA,"Cd",NA,NA,NA,NA,"Inferred","AT1G59870","AT1G15210,AT1G59870,AT3G16340","Medtr2g101090,Medtr8g014360","LOC_Os06g36090","Traes_7DL_63530C8FA","GRMZM2G029506","Glyma.07G015800,Glyma.08G201300,Glyma.13G355000","Potri.001G189500,Potri.003G049600","Sobic.010G165500,Sobic.010G165500","Seita.4G181500",""
"S.italica","Seita.3G112800",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G60960","AT1G10970,AT1G60960,AT4G33020","Medtr1g016120,Medtr3g104400","LOC_Os05g10940","Traes_1BS_D68F0BED6,Traes_1DS_C2EFEFBB9","GRMZM2G015955","Glyma.04G051100,Glyma.06G052000,Glyma.17G228600","Potri.018G053300","Sobic.009G073100,Sobic.009G073100","Seita.3G112800",""
"S.italica","Seita.2G327500",NA,"S,Se",NA,NA,NA,NA,"Inferred","AT1G62180","AT1G62180,AT4G04610,AT4G21990","Medtr2g023540","LOC_Os07g32570","Traes_2BS_DDCEEE1DE","AC189750.4_FG004","Glyma.07G261500,Glyma.09G004400,Glyma.15G108700","Potri.004G012100,Potri.T104400","Sobic.002G314300,Sobic.002G314300","Seita.2G327500",""
"S.italica","Seita.7G193900",NA,"Cu",NA,NA,NA,NA,"Inferred","AT1G63440,LOC_Os04g46940","AT1G63440","Medtr5g010420,Medtr8g079250","LOC_Os04g46940","Traes_2AL_D0EABF355,Traes_2BL_19B3E60AA,Traes_2DL_51FF05F66","GRMZM2G143512","Glyma.19G140000","Potri.001G105800,Potri.003G125600,Potri.003G125700","Sobic.006G173700,Sobic.006G173700","Seita.7G193900",""
"S.italica","Seita.7G194000",NA,"Cu",NA,NA,NA,NA,"Inferred","AT1G63440","AT1G63440","Medtr5g010420,Medtr8g079250","","Traes_2AL_D0EABF355,Traes_2BL_19B3E60AA,Traes_2DL_51FF05F66","GRMZM2G144083","Glyma.19G140000","Potri.001G105800,Potri.003G125600,Potri.003G125700","Sobic.006G173800,Sobic.006G173800","Seita.7G194000",""
"S.italica","Seita.8G110600",NA,"Cu",NA,NA,NA,NA,"Inferred","AT1G66240,LOC_Os08g10480","AT1G66240","Medtr1g092670","LOC_Os08g10480","Traes_7AL_4C5A18F7C,Traes_7DL_4B6FAFD6B","","Glyma.10G203200,Glyma.20G187100","Potri.008G023800,Potri.010G236500","Sobic.008G179500,Sobic.008G179500","Seita.8G110600",""
"S.italica","Seita.4G140700",NA,"P,As",NA,NA,NA,NA,"Inferred","AT1G76430","AT1G20860,AT1G76430","Medtr4g083960","LOC_Os06g21950","","","Glyma.07G222700,Glyma.20G021600","Potri.002G005500,Potri.005G256100","Sobic.010G133300,Sobic.010G133300","Seita.4G140700",""
"S.italica","Seita.4G263200",NA,"Mn",NA,NA,NA,NA,"Inferred","AT1G80830","AT1G15960,AT1G80830","Medtr2g104990","LOC_Os06g46310","Traes_7AL_08B2A7BB2,Traes_7BL_CA6B7C9E6,Traes_7DL_26A2F4353","GRMZM2G069198","Glyma.07G023600,Glyma.08G218200,Glyma.13G369900,Glyma.15G003500","Potri.001G044900","Sobic.010G227800,Sobic.010G227800","Seita.4G263200",""
"S.italica","Seita.2G197500",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","AT2G01770,LOC_Os09g23300","AT2G01770","","LOC_Os09g23300","Traes_5BL_7CE3EDE29,Traes_5DL_DA6449AC6","GRMZM2G074672","","","Sobic.002G194600,Sobic.002G194600","Seita.2G197500",""
"S.italica","Seita.7G126700",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","AT2G01770,LOC_Os04g38940","AT2G01770","Medtr8g105790,Medtr8g105810","LOC_Os04g38940","Traes_2AL_A3A25F40E,Traes_2BL_54954138A,Traes_2DL_B37EC8078","GRMZM2G107306","Glyma.05G240600,Glyma.08G047500","Potri.010G104100,Potri.010G104200","Sobic.006G109000,Sobic.006G109000","Seita.7G126700",""
"S.italica","Seita.3G409000",NA,"Na",NA,NA,NA,NA,"Inferred","AT2G01980","AT2G01980","","LOC_Os12g44360","Traes_3B_03F2D00E9","GRMZM2G098494","Glyma.08G092000","Potri.008G140700,Potri.010G100900","Sobic.008G192900,Sobic.008G192900","Seita.3G409000",""
"S.italica","Seita.9G406000",NA,"S",NA,NA,NA,NA,"Inferred","AT2G13540","AT2G13540","Medtr7g083840","LOC_Os03g22570","Traes_4BS_9831A28AE","GRMZM2G083689","Glyma.16G049600,Glyma.19G101600","Potri.009G049200","Sobic.001G373800,Sobic.001G373800","Seita.9G406000",""
"S.italica","Seita.4G281600",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G16770,AT4G35040","AT2G16770,AT4G35040","Medtr4g073100","LOC_Os06g50310","Traes_5BS_FC54F9BEA,Traes_5DS_4F7973584","GRMZM2G000171,GRMZM2G055413","Glyma.11G108100,Glyma.12G033000","Potri.004G175200,Potri.009G134900","Sobic.010G267500,Sobic.010G267500","Seita.4G281600",""
"S.italica","Seita.9G059700",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G16770,AT4G35040","AT2G16770,AT4G35040","Medtr4g073100","LOC_Os06g50310","Traes_5BS_FC54F9BEA,Traes_5DS_4F7973584","GRMZM2G000171,GRMZM2G055413","Glyma.11G108100,Glyma.12G033000","Potri.004G175200,Potri.009G134900","Sobic.010G267500,Sobic.010G267500","Seita.9G059700",""
"S.italica","Seita.4G242300",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G19110,AT4G30110","AT2G19110,AT4G30110","Medtr4g127580","","Traes_7AL_8304348B7,Traes_7DL_A5269C73F","GRMZM2G099191","Glyma.09G055600,Glyma.13G099600,Glyma.17G060400","Potri.006G076900","Sobic.010G250900,Sobic.010G250900","Seita.4G242300",""
"S.italica","Seita.3G367300",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT2G23150","AT1G47240,AT2G23150","Medtr3g102620,Medtr4g095075,Medtr5g016270","LOC_Os12g39180","Traes_5BS_DE1CD2DA4,Traes_5DS_8FAA08B51","GRMZM2G028036","Glyma.01G190700,Glyma.04G044000,Glyma.06G044200,Glyma.11G051500","Potri.002G121000","Sobic.008G143700,Sobic.008G143700","Seita.3G367300",""
"S.italica","Seita.9G171400",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT2G23150","AT1G47240,AT2G23150","Medtr3g102620,Medtr4g095075,Medtr5g016270","","Traes_4AL_2E796609C,Traes_4BS_9337E9B2F","GRMZM2G025680","Glyma.01G190700,Glyma.04G044000,Glyma.06G044200,Glyma.11G051500","Potri.002G121000","Sobic.001G170000,Sobic.001G170000","Seita.9G171400",""
"S.italica","Seita.9G339800",NA,"Cu,Zn",NA,NA,NA,NA,"Inferred","AT2G23240,AT2G42000","AT2G23240,AT2G42000","","","Traes_1AL_F0648088C","GRMZM2G402564","Glyma.08G346600,Glyma.18G157800","Potri.004G206400,Potri.009G167700","Sobic.001G311200,Sobic.001G311200","Seita.9G339800",""
"S.italica","Seita.9G184500",NA,"Mo",NA,NA,NA,NA,"Inferred","AT2G25680,Medtr1g010270,Medtr3g464210,LOC_Os08g01120","AT2G25680","Medtr1g010210,Medtr1g010270,Medtr3g108190,Medtr3g464210","LOC_Os08g01120","Traes_2AL_1855F06E3","GRMZM2G083156","Glyma.04G073000,Glyma.06G074100,Glyma.14G130000,Glyma.17G203000,Glyma.17G203200,Glyma.17G203500","Potri.006G245900,Potri.006G246000","Sobic.001G187300,Sobic.001G187300","Seita.9G184500",""
"S.italica","Seita.7G069900",NA,"Fe",NA,NA,NA,NA,"Inferred","AT2G28160","AT2G28160","Medtr2g084280,Medtr4g057270","LOC_Os04g31290","Traes_2AL_088338613,Traes_2BL_F442E87DD","","Glyma.11G192800,Glyma.12G081200,Glyma.12G178500,Glyma.13G322100","Potri.009G005600,Potri.T155900","","Seita.7G069900",""
"S.italica","Seita.7G070000",NA,"Fe",NA,NA,NA,NA,"Inferred","AT2G28160","AT2G28160","Medtr2g084280,Medtr4g057270","LOC_Os04g31290","Traes_2AL_088338613,Traes_2BL_F442E87DD","GRMZM2G107672,GRMZM2G173521,GRMZM2G313756","Glyma.11G192800,Glyma.12G081200,Glyma.12G178500,Glyma.13G322100","Potri.009G005600,Potri.T155900","Sobic.006G047200,Sobic.006G047200","Seita.7G070000",""
"S.italica","Seita.5G110100",NA,"Ca,Mn,Zn,Na,S,K,As,Se,Mo",NA,NA,NA,NA,"Inferred","AT2G28670","AT1G07730,AT2G28670","Medtr4g062470,Medtr4g062520","LOC_Os01g06250","","AC206350.3_FG005","Glyma.11G144000,Glyma.11G144200,Glyma.12G067400","Potri.008G049200,Potri.010G211800","Sobic.003G064800,Sobic.003G064800","Seita.5G110100",""
"S.italica","Seita.4G276500",NA,"P",NA,NA,NA,NA,"Inferred","AT2G32830,AT2G38940","AT2G32830,AT2G38940,AT3G54700,AT5G43360","Medtr1g069935,Medtr7g096870,Medtr7g096880","LOC_Os08g45000","","GRMZM2G112377","Glyma.03G162800,Glyma.10G036800,Glyma.19G164300","Potri.005G223500,Potri.005G223600","Sobic.007G164400,Sobic.007G164400","Seita.4G276500",""
"S.italica","Seita.6G012100",NA,"P",NA,NA,NA,NA,"Inferred","AT2G32830,AT2G38940","AT2G32830,AT2G38940,AT3G54700,AT5G43360","Medtr1g043200,Medtr1g043220,Medtr1g043290,Medtr1g074930,Medtr3g082700","","","","Glyma.02G005800,Glyma.10G006700,Glyma.10G186500,Glyma.20G204000","Potri.001G318500,Potri.002G038900,Potri.010G071600,Potri.010G071700,Potri.010G072000","","Seita.6G012100",""
"S.italica","Seita.6G253400",NA,"P",NA,NA,NA,NA,"Inferred","AT2G32830,AT2G38940","AT2G32830,AT2G38940,AT3G54700,AT5G43360","Medtr1g069935,Medtr7g096870,Medtr7g096880","LOC_Os08g45000","","GRMZM2G112377","Glyma.03G162800,Glyma.10G036800,Glyma.19G164300","Potri.005G223500,Potri.005G223600","Sobic.007G164400,Sobic.007G164400","Seita.6G253400",""
"S.italica","Seita.7G032900",NA,"P",NA,NA,NA,NA,"Inferred","AT2G32830,AT2G38940","AT2G32830,AT2G38940,AT3G54700,AT5G43360","Medtr1g043200,Medtr1g043220,Medtr1g043290,Medtr1g074930,Medtr3g082700","LOC_Os04g10690","","GRMZM2G045473","Glyma.02G005800,Glyma.10G006700,Glyma.10G186500,Glyma.20G204000","Potri.001G318500,Potri.002G038900,Potri.010G071600,Potri.010G071700,Potri.010G072000","Sobic.006G027300,Sobic.006G027300","Seita.7G032900",""
"S.italica","Seita.9G238300",NA,"P",NA,NA,NA,NA,"Inferred","AT2G32830,AT2G38940","AT2G32830,AT2G38940,AT3G54700,AT5G43360","Medtr1g043200,Medtr1g043220,Medtr1g043290,Medtr1g074930,Medtr3g082700","LOC_Os10g30790","Traes_4AL_C56125840,Traes_5BL_1CF10603C,Traes_5DL_391DF2590,Traes_5DL_D473C031B,Traes_5DL_E15C27E9B","GRMZM2G154090,GRMZM2G326707","Glyma.02G005800,Glyma.10G006700,Glyma.10G186500,Glyma.20G204000","Potri.001G318500,Potri.002G038900,Potri.010G071600,Potri.010G071700,Potri.010G072000","Sobic.001G234800,Sobic.001G234800","Seita.9G238300",""
"S.italica","Seita.9G538600",NA,"P",NA,NA,NA,NA,"Inferred","AT2G32830,AT2G38940","AT2G32830,AT2G38940,AT3G54700,AT5G43360","Medtr1g043200,Medtr1g043220,Medtr1g043290,Medtr1g074930,Medtr3g082700","LOC_Os03g05610","","","Glyma.02G005800,Glyma.10G006700,Glyma.10G186500,Glyma.20G204000","Potri.001G318500,Potri.002G038900,Potri.010G071600,Potri.010G071700,Potri.010G072000","Sobic.001G502100,Sobic.001G502100","Seita.9G538600",""
"S.italica","Seita.3G150400",NA,"P",NA,NA,NA,NA,"Inferred","AT2G33770,LOC_Os05g48390","AT2G33770","Medtr2g013650,Medtr4g020620,Medtr4g088835","LOC_Os05g48390","Traes_1AL_E5224B6EA,Traes_1BL_241A3B9EF,Traes_1DL_F122253A3","GRMZM2G381709,GRMZM2G464572","Glyma.07G196500,Glyma.13G179600,Glyma.13G239100,Glyma.15G074200","Potri.004G043500,Potri.011G052600","Sobic.009G228100,Sobic.009G228100","Seita.3G150400",""
"S.italica","Seita.4G269800",NA,"Co,Ni",NA,NA,NA,NA,"Inferred","AT2G38460,AT5G03570","AT2G38460,AT5G03570","Medtr4g013240,Medtr4g013245","LOC_Os06g36450","Traes_4DL_A266BC7CA","GRMZM2G148060","Glyma.01G128300,Glyma.03G042400","Potri.016G128500,Potri.016G128600,Potri.T141700","Sobic.010G168400,Sobic.010G168400","Seita.4G269800",""
"S.italica","Seita.3G215300",NA,"Mn",NA,NA,NA,NA,"Inferred","AT2G39450","AT2G39450","Medtr7g022890","","Traes_3B_8D1DAA8DE","","Glyma.02G095400,Glyma.18G286100","Potri.008G049600,Potri.010G211300","","Seita.3G215300",""
"S.italica","Seita.5G374300",NA,"Mn",NA,NA,NA,NA,"Inferred","AT2G39450","AT2G39450","Medtr7g022890","LOC_Os01g62070","Traes_3B_8D1DAA8DE","GRMZM2G014454","Glyma.02G095400,Glyma.18G286100","Potri.008G049600,Potri.010G211300","Sobic.003G349200,Sobic.003G349200","Seita.5G374300",""
"S.italica","Seita.3G049900",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G46800","AT2G46800","Medtr2g036390,Medtr8g024240","LOC_Os05g03780","Traes_1AS_520F23BD4,Traes_1BS_7F56C8B50,Traes_1DS_A22F0D613","GRMZM2G477741","Glyma.07G049200,Glyma.16G017800","Potri.001G450900,Potri.011G150600","Sobic.009G029500,Sobic.009G029500","Seita.3G049900",""
"S.italica","Seita.3G333100",NA,"B",NA,NA,NA,NA,"Inferred","AT2G47160,AT3G62270,LOC_Os12g37840","AT2G47160,AT3G62270","Medtr7g110000","LOC_Os12g37840","Traes_5AS_B9B99F1F2,Traes_5BS_AE9A54888","GRMZM2G166159","Glyma.03G222300,Glyma.19G219500","Potri.008G100300","Sobic.008G132300,Sobic.008G132300","Seita.3G333100",""
"S.italica","Seita.1G287300",NA,"Na,K,Rb,Mg,Ca,Fe,Mo",NA,NA,NA,NA,"Inferred","AT3G06060","AT3G06060,AT5G19200","Medtr2g022600,Medtr3g098750","LOC_Os02g47350","Traes_6AL_5B7EC197B","GRMZM2G147701","Glyma.13G207200,Glyma.15G105400","Potri.010G191800","Sobic.004G269700,Sobic.004G269700","Seita.1G287300",""
"S.italica","Seita.6G026600",NA,"Mn",NA,NA,NA,NA,"Inferred","AT3G12750","AT3G12750","","LOC_Os08g10630","","GRMZM2G111300","","","Sobic.007G075700,Sobic.007G075700","Seita.6G026600",""
"S.italica","Seita.7G234300",NA,"Mn,Zn",NA,NA,NA,NA,"Inferred","AT3G12750,LOC_Os04g52310","AT3G12750","","LOC_Os04g52310","Traes_2BL_23F1C8743","GRMZM2G045849","","","Sobic.006G212200,Sobic.006G212200","Seita.7G234300",""
"S.italica","Seita.3G034000",NA,"Mn,Fe,K,P",NA,NA,NA,NA,"Inferred","AT3G13320","AT1G55720,AT1G55730,AT3G13320","","LOC_Os04g55940","","GRMZM2G040017,GRMZM2G143356","","","Sobic.006G245100,Sobic.006G245100","Seita.3G034000",""
"S.italica","Seita.9G374300",NA,"Mn,Fe,K,P",NA,NA,NA,NA,"Inferred","AT3G13320","AT1G55720,AT1G55730,AT3G13320","Medtr2g105640","LOC_Os03g27960","Traes_4BS_0F601AE0D,Traes_4DL_4DD8BAC21","GRMZM2G053004","Glyma.13G372100,Glyma.15G001600","Potri.010G249200","Sobic.001G346500,Sobic.001G346500","Seita.9G374300",""
"S.italica","Seita.9G251200",NA,"S",NA,NA,NA,NA,"Inferred","AT3G14280","AT3G14280","","LOC_Os10g25150","","","","Potri.001G163100,Potri.003G072400","Sobic.001G260600,Sobic.001G260600","Seita.9G251200",""
"S.italica","Seita.3G012800",NA,"Na,Fe,Zn,Mn,Mo",NA,NA,NA,NA,"Inferred","AT3G15380","AT3G15380","Medtr2g079490,Medtr8g059125","LOC_Os04g58470,LOC_Os04g58504","Traes_2AL_533B673F0,Traes_2BL_3DDB1826B,Traes_2DL_DCE370754","GRMZM2G051917","Glyma.06G246600,Glyma.12G150800,Glyma.12G223200,Glyma.13G278300","Potri.011G121100","Sobic.006G270400,Sobic.006G270400","Seita.3G012800",""
"S.italica","Seita.6G001600",NA,"Na,Fe,Zn,Mn,Mo",NA,NA,NA,NA,"Inferred","AT3G15380","AT3G15380","Medtr2g079490,Medtr8g059125","","Traes_7BL_3902E0349,Traes_7DL_6F84F387C","GRMZM2G125768","Glyma.06G246600,Glyma.12G150800,Glyma.12G223200,Glyma.13G278300","Potri.011G121100","Sobic.007G000700,Sobic.007G000700","Seita.6G001600",""
"S.italica","Seita.3G156900",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AT3G18290","AT3G18290","Medtr6g083900,Medtr8g104410","","Traes_1DL_94289C61D","","Glyma.05G237500,Glyma.07G093700,Glyma.08G044700,Glyma.09G182600","Potri.008G123300,Potri.010G122200,Potri.012G055100","Sobic.009G222200,Sobic.009G222200","Seita.3G156900",""
"S.italica","Seita.5G276900",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AT3G18290","AT3G18290","Medtr6g083900,Medtr8g104410","LOC_Os01g49470","Traes_3AL_667B9174E,Traes_3B_38BD6A407,Traes_3DL_7AF5E2768","GRMZM2G175661","Glyma.05G237500,Glyma.07G093700,Glyma.08G044700,Glyma.09G182600","Potri.008G123300,Potri.010G122200,Potri.012G055100","Sobic.003G262200,Sobic.003G262200","Seita.5G276900",""
"S.italica","Seita.9G096900",NA,"S",NA,NA,NA,NA,"Inferred","AT3G22890","AT3G22890,AT4G14680,AT5G43780","Medtr1g102550","LOC_Os03g53230","Traes_5BL_5CED2C911,Traes_5DL_BCEFD69DA","GRMZM2G051270,GRMZM2G149952","Glyma.10G242600,Glyma.20G151500","Potri.008G159000,Potri.010G081200","Sobic.001G094300,Sobic.001G094300","Seita.9G096900",""
"S.italica","Seita.1G360400",NA,"P",NA,NA,NA,NA,"Inferred","AT3G23430,LOC_Os02g56510","AT3G23430","Medtr1g041695,Medtr1g075640","LOC_Os02g56510","Traes_6DL_C4DC2B23A","GRMZM2G466545","Glyma.02G003700,Glyma.10G004800,Glyma.10G183300,Glyma.20G206900","Potri.008G169400,Potri.010G069000","Sobic.004G339800,Sobic.004G339800","Seita.1G360400",""
"S.italica","Seita.2G400400",NA,"Fe,Zn,Mn,Co",NA,NA,NA,NA,"Inferred","AT3G47640","AT3G47640","Medtr4g108360","LOC_Os07g43530","Traes_2AS_C4568AE60,Traes_2DS_1FE8E9DE9","GRMZM2G017145","Glyma.05G027600,Glyma.17G098900","Potri.003G074400,Potri.015G142700","Sobic.002G385300,Sobic.002G385300","Seita.2G400400",""
"S.italica","Seita.8G180600",NA,"Fe,Zn,Mn,Co",NA,NA,NA,NA,"Inferred","AT3G47640","AT3G47640","","LOC_Os11g38870","Traes_4AL_233C180CE,Traes_4BS_E01AAE6DE,Traes_4DS_51AD22B85","GRMZM2G133675","Glyma.05G027600,Glyma.17G098900","Potri.003G074400,Potri.015G142700","Sobic.005G177800,Sobic.005G177800","Seita.8G180600",""
"S.italica","Seita.9G384500",NA,"Fe,Zn,Mn,Co",NA,NA,NA,NA,"Inferred","AT3G47640","AT3G47640","Medtr4g108360","LOC_Os03g26210","Traes_2AS_9AEA9BDEA,Traes_2BS_8A40B568C,Traes_2DS_FE62DB7F5","GRMZM2G350312","Glyma.05G027600,Glyma.17G098900","Potri.003G074400,Potri.015G142700","Sobic.001G355600,Sobic.001G355600","Seita.9G384500",""
"S.italica","Seita.2G068600",NA,"Na",NA,NA,NA,NA,"Inferred","AT3G47950","AT3G47950,AT5G62670","Medtr4g107500","LOC_Os07g09340","","GRMZM2G104325","","Potri.012G071600,Potri.015G066000","Sobic.002G065000,Sobic.002G065000","Seita.2G068600",""
"S.italica","Seita.3G406700",NA,"Na",NA,NA,NA,NA,"Inferred","AT3G47950","AT3G47950,AT5G62670","Medtr4g107500","LOC_Os12g44150","Traes_5AS_FDCDBC783,Traes_5BS_7DDBE5B89,Traes_5DS_DECAA37DD","GRMZM2G035520","Glyma.04G174800,Glyma.05G030700,Glyma.06G189900,Glyma.17G096100","Potri.012G071600,Potri.015G066000","Sobic.008G190500,Sobic.008G190500","Seita.3G406700",""
"S.italica","Seita.9G134900",NA,"Na",NA,NA,NA,NA,"Inferred","AT3G47950","AT3G47950,AT5G62670","Medtr4g107500","","Traes_4AL_0C3D39404,Traes_4DS_2EEB4E70B","","Glyma.04G174800,Glyma.05G030700,Glyma.06G189900,Glyma.17G096100","Potri.012G071600,Potri.015G066000","Sobic.001G132400,Sobic.001G132400","Seita.9G134900",""
"S.italica","Seita.3G120500",NA,"P,K",NA,NA,NA,NA,"Inferred","AT3G51860","AT2G38170,AT3G51860","Medtr4g016720,Medtr5g070330","LOC_Os05g51610","Traes_2AL_26065F906,Traes_2BL_445F5B3B7,Traes_2DL_2A2F4F62B","GRMZM5G809587","Glyma.01G122800,Glyma.02G226500,Glyma.03G058300,Glyma.03G058500,Glyma.07G149600,Glyma.14G193400,Glyma.18G200500","Potri.001G251200,Potri.006G099900,Potri.009G045800,Potri.016G115500","Sobic.009G257800,Sobic.009G257800","Seita.3G120500",""
