"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.ortholog.species","Tissue","Comments","Primary/Inferred","Inferred.from.","A.thaliana orthologs","M.truncatula orthologs","O.sativa orthologs","T.aestivum orthologs","Z.mays orthologs","G.max orthologs","P.trichocarpa orthologs","S.italica orthologs","S.viridis orthologs"
"S.bicolor","Sobic.004G260500",NA,"K,NO3-",NA,NA,NA,NA,"Inferred","AT1G32450","AT1G32450,AT4G21680","Medtr1g116930,Medtr7g005930,Medtr7g013270","LOC_Os02g48570","","GRMZM2G061303","Glyma.08G361300,Glyma.10G296600,Glyma.18G300400,Glyma.20G247400","Potri.001G013400,Potri.003G212900","Seita.1G296400","Sevir.1G301800"
"S.bicolor","Sobic.003G373600",NA,"S,Se",NA,NA,NA,NA,"Inferred","AT1G36370","AT1G22020,AT1G36370","Medtr2g006570","LOC_Os01g65410","Traes_3AL_4020ECFB3,Traes_3B_AEE1A6778","GRMZM2G452630","Glyma.08G187800,Glyma.12G170300","Potri.001G212000,Potri.002G090200,Potri.005G170800","Seita.5G398800","Sevir.5G404100"
"S.bicolor","Sobic.001G151400",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr1g084050,Medtr2g034240,Medtr7g112130","LOC_Os07g48980","Traes_2BS_CB79BAFB1","GRMZM2G478568","Glyma.03G231200,Glyma.09G036400,Glyma.19G228400","Potri.005G014300,Potri.005G017300,Potri.010G143100","Seita.2G440200","Sevir.2G452700"
"S.bicolor","Sobic.001G395900",NA,"Fe,Cd,Co,Mo",NA,NA,NA,NA,"Inferred","AT1G56430,LOC_Os03g19420","AT1G09240,AT1G56430,AT5G04950,AT5G56080","Medtr1g084050,Medtr2g034240,Medtr7g112130","LOC_Os03g19420,LOC_Os03g19427","Traes_2AS_F55243E0C,Traes_2BS_98815CE06,Traes_4BL_BB0FC3BD3,Traes_4DL_4E10A6DFB,Traes_4DL_AF0869DDB,Traes_6AS_5D0B8CF891,Traes_6DL_1470C4162","GRMZM2G030036,GRMZM2G124785","Glyma.03G231200,Glyma.09G036400,Glyma.19G228400","Potri.005G014300,Potri.005G017300,Potri.010G143100","Seita.9G429600","Sevir.9G433666"
"S.bicolor","Sobic.003G281500",NA,"Cd",NA,NA,NA,NA,"Inferred","AT1G59870","AT1G15210,AT1G59870,AT3G16340","Medtr2g101090,Medtr8g014360","LOC_Os01g52560","","GRMZM2G000614","Glyma.07G015800,Glyma.08G201300,Glyma.13G355000,Glyma.15G019200","Potri.001G189500,Potri.003G049600","Seita.5G302300","Sevir.5G304900"
"S.bicolor","Sobic.010G171300",NA,"Fe",NA,NA,NA,NA,"Inferred","AT1G60960","AT1G10970,AT1G60960","Medtr1g016120,Medtr3g104400","","Traes_7DL_24CBFF460","GRMZM2G064382","Glyma.04G051100,Glyma.06G052000,Glyma.17G228600","Potri.018G053300","","Sevir.4G249800"
"S.bicolor","Sobic.002G314300",NA,"S,Se",NA,NA,NA,NA,"Inferred","AT1G62180","AT1G62180,AT4G04610,AT4G21990","Medtr2g023540","LOC_Os07g32570","Traes_2BS_DDCEEE1DE","GRMZM2G087254","Glyma.07G261500,Glyma.09G004400,Glyma.15G108700","Potri.004G012100,Potri.T104400","Seita.2G327500","Sevir.2G338800"
"S.bicolor","Sobic.006G173700",NA,"Cu",NA,NA,NA,NA,"Inferred","AT1G63440,LOC_Os04g46940","AT1G63440","Medtr5g010420","LOC_Os04g46940","Traes_2AL_D0EABF355,Traes_2BL_19B3E60AA,Traes_2DL_51FF05F66","GRMZM2G143512","Glyma.19G140000","Potri.001G105800,Potri.003G125600,Potri.003G125700","Seita.7G193900","Sevir.7G205900"
"S.bicolor","Sobic.006G173800",NA,"Cu",NA,NA,NA,NA,"Inferred","AT1G63440","AT1G63440","Medtr5g010420","","Traes_2AL_D0EABF355,Traes_2BL_19B3E60AA,Traes_2DL_51FF05F66","GRMZM2G144083","Glyma.19G140000","Potri.001G105800,Potri.003G125600,Potri.003G125700","Seita.7G194000","Sevir.7G206000"
"S.bicolor","Sobic.008G179500",NA,"Cu",NA,NA,NA,NA,"Inferred","AT1G66240,LOC_Os08g10480","AT1G66240","Medtr1g092670","LOC_Os08g10480","Traes_7AL_4C5A18F7C,Traes_7DL_4B6FAFD6B","","Glyma.10G203200,Glyma.20G187100","Potri.008G023800,Potri.010G236500","Seita.8G110600","Sevir.8G115200"
"S.bicolor","Sobic.003G232800",NA,"P",NA,NA,NA,NA,"Inferred","AT1G68320","AT1G48000,AT1G68320,AT2G47190,AT3G06490,AT5G49620","","","","GRMZM2G143328","","","Seita.5G239400","Sevir.5G247000"
"S.bicolor","Sobic.010G133300",NA,"P,As",NA,NA,NA,NA,"Inferred","AT1G76430","AT1G20860,AT1G76430","Medtr4g083960","LOC_Os06g21950","","","Glyma.07G222700,Glyma.20G021600","Potri.002G005500,Potri.005G256100","Seita.4G140700","Sevir.4G173800"
"S.bicolor","Sobic.010G227800",NA,"Mn",NA,NA,NA,NA,"Inferred","AT1G80830","AT1G15960,AT1G80830","Medtr2g104990","LOC_Os06g46310","Traes_7AL_08B2A7BB2,Traes_7BL_CA6B7C9E6,Traes_7DL_26A2F4353","GRMZM2G069198","Glyma.07G023600,Glyma.08G218200,Glyma.13G369900,Glyma.15G003500","Potri.001G044900","Seita.4G263200","Sevir.4G276100"
"S.bicolor","Sobic.006G109000",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","AT2G01770,LOC_Os04g38940","AT2G01770","Medtr8g105790,Medtr8g105810","LOC_Os04g38940","Traes_2AL_A3A25F40E,Traes_2BL_54954138A,Traes_2DL_B37EC8078","GRMZM2G107306","Glyma.05G240600,Glyma.08G047500","Potri.010G104100,Potri.010G104200","Seita.7G126700","Sevir.7G134800"
"S.bicolor","Sobic.008G192900",NA,"Na",NA,NA,NA,NA,"Inferred","AT2G01980","AT2G01980","","LOC_Os12g44360","Traes_3B_03F2D00E9","GRMZM2G098494","Glyma.08G092000","Potri.008G140700,Potri.010G100900","Seita.3G409000","Sevir.3G427000"
"S.bicolor","Sobic.001G373800",NA,"S",NA,NA,NA,NA,"Inferred","AT2G13540","AT2G13540","Medtr7g083840","LOC_Os03g22570","Traes_4BS_9831A28AE","GRMZM2G083689","Glyma.16G049600,Glyma.19G101600","Potri.009G049200","Seita.9G406000","Sevir.9G409800"
"S.bicolor","Sobic.010G267500",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G16770,AT4G35040","AT2G16770,AT4G35040","Medtr4g073100","LOC_Os06g50310","Traes_5BS_FC54F9BEA,Traes_5DS_4F7973584","GRMZM2G000171","Glyma.11G108100,Glyma.12G033000","Potri.004G175200,Potri.009G134900","Seita.4G281600,Seita.9G059700","Sevir.4G293800,Sevir.9G058800"
"S.bicolor","Sobic.010G250900",NA,"Zn",NA,NA,NA,NA,"Inferred","AT2G19110,AT4G30110","AT2G19110,AT4G30110","Medtr4g127580","","Traes_7AL_8304348B7,Traes_7DL_A5269C73F","GRMZM2G099191","Glyma.13G099600,Glyma.17G060400","Potri.006G076900","Seita.4G242300","Sevir.4G255000"
"S.bicolor","Sobic.006G032700",NA,"As",NA,NA,NA,NA,"Inferred","AT2G21045","AT2G21045","Medtr2g017630,Medtr2g059890","LOC_Os04g17660","","AC204711.3_FG003","Glyma.02G047000,Glyma.12G017900,Glyma.16G126500","Potri.005G111200,Potri.014G131300","Seita.2G199200","Sevir.2G207400"
"S.bicolor","Sobic.001G170000",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT2G23150","AT1G47240,AT2G23150","Medtr3g102620,Medtr4g095075,Medtr5g016270","","","GRMZM2G025680","Glyma.01G190700,Glyma.04G044000,Glyma.05G101700,Glyma.11G051500,Glyma.17G165200","Potri.002G121000","Seita.9G171400","Sevir.9G169700"
"S.bicolor","Sobic.008G143700",NA,"Fe,Mn,Zn",NA,NA,NA,NA,"Inferred","AT2G23150","AT1G47240,AT2G23150","Medtr3g102620,Medtr4g095075,Medtr5g016270","LOC_Os12g39180","Traes_5BS_DE1CD2DA4,Traes_5DS_8FAA08B51","GRMZM2G028036","Glyma.01G190700,Glyma.04G044000,Glyma.05G101700,Glyma.11G051500,Glyma.17G165200","Potri.002G121000","Seita.3G367300","Sevir.3G384700"
"S.bicolor","Sobic.001G311200",NA,"Cu,Zn",NA,NA,NA,NA,"Inferred","AT2G23240,AT2G42000","AT2G23240,AT2G42000","Medtr7g053460","","Traes_1AL_F0648088C","GRMZM2G402564","Glyma.08G346600,Glyma.18G157800","Potri.004G206400,Potri.009G167700","Seita.9G339800","Sevir.9G343900"
"S.bicolor","Sobic.001G187300",NA,"Mo",NA,NA,NA,NA,"Inferred","AT2G25680,Medtr1g010270,Medtr3g464210,LOC_Os08g01120","AT2G25680","Medtr1g010210,Medtr1g010270,Medtr3g108190,Medtr3g464210","LOC_Os08g01120","Traes_2AL_1855F06E3","GRMZM2G083156","Glyma.04G073000,Glyma.06G074100,Glyma.14G130000,Glyma.17G203000,Glyma.17G203200,Glyma.17G203500","Potri.006G245900,Potri.006G246000","Seita.9G184500","Sevir.9G183400"
"S.bicolor","Sobic.006G047200",NA,"Fe",NA,NA,NA,NA,"Inferred","AT2G28160","AT2G28160","Medtr2g084280,Medtr4g057270","LOC_Os04g31290","Traes_2AL_088338613,Traes_2BL_F442E87DD","GRMZM2G107672,GRMZM2G173521","Glyma.11G192800,Glyma.12G081200,Glyma.12G178500,Glyma.13G322100","Potri.009G005600,Potri.T155900","Seita.7G070000","Sevir.7G076400"
"S.bicolor","Sobic.003G064800",NA,"Ca,Mn,Zn,Na,S,K,As,Se,Mo",NA,NA,NA,NA,"Inferred","AT2G28670","AT1G07730,AT2G28670","Medtr4g062470,Medtr4g062520","LOC_Os01g06250","","AC206350.3_FG005","Glyma.11G144000,Glyma.11G144200,Glyma.12G067400","Potri.008G049200,Potri.010G211800","Seita.5G110100","Sevir.5G106900"
"S.bicolor","Sobic.009G228100",NA,"P",NA,NA,NA,NA,"Inferred","AT2G33770,LOC_Os05g48390","AT2G33770","Medtr2g013650,Medtr4g020620,Medtr4g088835","LOC_Os05g48390","Traes_1AL_E5224B6EA,Traes_1BL_241A3B9EF,Traes_1DL_F122253A3","GRMZM2G381709,GRMZM2G464572","Glyma.07G196500,Glyma.13G179600,Glyma.13G239100,Glyma.15G074200","Potri.004G043500,Potri.011G052600","Seita.3G150400","Sevir.3G153100"
"S.bicolor","Sobic.003G349600",NA,"Ni",NA,NA,NA,NA,"Inferred","AT2G37430","AT2G37430,AT3G53600","","LOC_Os01g62130","","GRMZM5G804618","","","Seita.5G374800","Sevir.5G380000"
"S.bicolor","Sobic.009G164600",NA,"Ni",NA,NA,NA,NA,"Inferred","AT2G37430","AT2G37430,AT3G53600","","LOC_Os05g38620","","AC206217.2_FG006","","","",""
"S.bicolor","Sobic.010G168400",NA,"Co,Ni",NA,NA,NA,NA,"Inferred","AT2G38460,AT5G03570","AT2G38460,AT5G03570","Medtr4g013240,Medtr4g013245","LOC_Os06g36450","Traes_4DL_A266BC7CA","GRMZM2G148060","Glyma.01G128300,Glyma.03G042400","Potri.016G128500,Potri.016G128600,Potri.T141700","Seita.4G269800","Sevir.4G281800"
"S.bicolor","Sobic.001G234800",NA,"P",NA,NA,NA,NA,"Inferred","AT2G38940","AT2G38940","Medtr1g069935,Medtr7g096870,Medtr7g096880","LOC_Os10g30790","Traes_4AL_C56125840,Traes_5BL_1CF10603C,Traes_5DL_391DF2590","GRMZM2G154090","","Potri.001G318500,Potri.002G038900,Potri.005G223500,Potri.005G223600","Seita.9G238300","Sevir.9G238300"
"S.bicolor","Sobic.001G502100",NA,"P",NA,NA,NA,NA,"Inferred","AT2G38940","AT2G38940","","LOC_Os03g05610","","","","Potri.001G318500,Potri.002G038900,Potri.005G223500,Potri.005G223600","Seita.9G538600","Sevir.9G542900"
"S.bicolor","Sobic.003G349200",NA,"Mn",NA,NA,NA,NA,"Inferred","AT2G39450","AT2G39450","Medtr7g022890","LOC_Os01g62070","Traes_3B_8D1DAA8DE","GRMZM2G014454","Glyma.02G095400,Glyma.18G286100","Potri.008G049600,Potri.010G211300","Seita.5G374300","Sevir.5G379500"
"S.bicolor","Sobic.008G132300",NA,"B",NA,NA,NA,NA,"Inferred","AT2G47160,AT3G62270,LOC_Os12g37840","AT2G47160,AT3G62270","Medtr7g110000","LOC_Os12g37840","Traes_5AS_B9B99F1F2,Traes_5BS_AE9A54888","GRMZM2G166159","Glyma.03G222300,Glyma.19G219500","Potri.008G100300","Seita.3G333100","Sevir.3G347400"
"S.bicolor","Sobic.001G132600",NA,"P",NA,NA,NA,NA,"Inferred","AT3G01310,AT5G15070","AT3G01310,AT5G15070","Medtr6g011290,Medtr7g009060","LOC_Os03g48300","Traes_4BS_77F5E1A28,Traes_4DS_4E9831209","GRMZM2G057140","Glyma.09G241100,Glyma.13G065500,Glyma.18G255000,Glyma.19G019100","Potri.004G129900,Potri.017G076400","Seita.9G135000","Sevir.9G133900"
"S.bicolor","Sobic.004G269700",NA,"Na,K,Rb,Mg,Ca,Fe,Mo",NA,NA,NA,NA,"Inferred","AT3G06060","AT3G06060,AT5G19200","Medtr2g022600,Medtr3g098750","LOC_Os02g47350","Traes_6AL_5B7EC197B","GRMZM2G147701","Glyma.13G207200,Glyma.15G105400","Potri.010G191800","Seita.1G287300","Sevir.1G292400"
"S.bicolor","Sobic.004G337066",NA,"Na,K,Rb,Mg,Ca,Fe,Mo",NA,NA,NA,NA,"Inferred","AT3G06060","AT3G06060,AT5G19200","Medtr2g022600,Medtr3g098750","","","","Glyma.13G207200,Glyma.15G105400","Potri.010G191800","",""
"S.bicolor","Sobic.006G212200",NA,"Mn,Zn",NA,NA,NA,NA,"Inferred","AT3G12750,LOC_Os04g52310","AT3G12750","","LOC_Os04g52310","Traes_2BL_23F1C8743","GRMZM2G045849","","","Seita.7G234300","Sevir.7G245900"
"S.bicolor","Sobic.007G075700",NA,"Mn",NA,NA,NA,NA,"Inferred","AT3G12750","AT3G12750","","","","GRMZM2G111300","","","Seita.6G026600","Sevir.6G025100"
"S.bicolor","Sobic.001G346500",NA,"Mn,Fe,K,P",NA,NA,NA,NA,"Inferred","AT3G13320","AT1G55720,AT1G55730,AT3G13320","Medtr2g105640","LOC_Os03g27960","Traes_4BS_0F601AE0D,Traes_4DL_4DD8BAC21","GRMZM2G053004","Glyma.13G372100,Glyma.15G001600","Potri.010G249200","Seita.9G374300","Sevir.9G379800"
"S.bicolor","Sobic.006G245100",NA,"Mn,Fe,K,P",NA,NA,NA,NA,"Inferred","AT3G13320","AT1G55720,AT1G55730,AT3G13320","Medtr2g105640","LOC_Os04g55940","","GRMZM2G143356","","Potri.010G249200","Seita.3G034000","Sevir.3G034900"
"S.bicolor","Sobic.001G260600",NA,"S",NA,NA,NA,NA,"Inferred","AT3G14280","AT3G14280","","LOC_Os10g25150","","","","Potri.001G163100,Potri.003G072400","Seita.9G251200","Sevir.9G254100"
"S.bicolor","Sobic.004G321500",NA,"S",NA,NA,NA,NA,"Inferred","AT3G14280","AT3G14280","","LOC_Os02g54180","","","Glyma.03G263400,Glyma.07G045700,Glyma.16G013600,Glyma.19G262400","","Seita.1G342900","Sevir.1G349900"
"S.bicolor","Sobic.010G071400",NA,"S",NA,NA,NA,NA,"Inferred","AT3G14280","AT3G14280","","LOC_Os06g09350","Traes_7DS_7F0B548D5","GRMZM2G116881","Glyma.03G263400,Glyma.07G045700,Glyma.16G013600,Glyma.19G262400","","Seita.4G042000","Sevir.4G039600"
"S.bicolor","Sobic.006G270400",NA,"Na,Fe,Zn,Mn,Mo",NA,NA,NA,NA,"Inferred","AT3G15380","AT3G15380","Medtr2g079490,Medtr8g059125","LOC_Os04g58470,LOC_Os04g58504","Traes_2AL_533B673F0,Traes_2BL_3DDB1826B,Traes_2DL_DCE370754","GRMZM2G051917","Glyma.06G246600,Glyma.12G150800,Glyma.12G223200,Glyma.13G278300","Potri.011G121100","Seita.3G012800","Sevir.3G014100"
"S.bicolor","Sobic.007G000700",NA,"Na,Fe,Zn,Mn,Mo",NA,NA,NA,NA,"Inferred","AT3G15380","AT3G15380","Medtr2g079490,Medtr8g059125","","Traes_7BL_3902E0349,Traes_7DL_6F84F387C","GRMZM2G125768","Glyma.06G246600,Glyma.12G150800,Glyma.12G223200,Glyma.13G278300","Potri.011G121100","Seita.6G001600","Sevir.6G001500"
"S.bicolor","Sobic.003G262200",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AT3G18290","AT3G18290","Medtr6g083900,Medtr8g104410","LOC_Os01g49470","Traes_3AL_667B9174E,Traes_3B_38BD6A407,Traes_3DL_7AF5E2768","GRMZM2G312712","Glyma.05G237500,Glyma.07G093700,Glyma.08G044700,Glyma.09G182600","Potri.008G123300,Potri.010G122200,Potri.012G055100","Seita.5G276900","Sevir.5G279700"
"S.bicolor","Sobic.009G222200",NA,"Fe,Zn,Mn",NA,NA,NA,NA,"Inferred","AT3G18290","AT3G18290","Medtr6g083900,Medtr8g104410","","Traes_1BL_467D0EA6B,Traes_1DL_94289C61D","","Glyma.05G237500,Glyma.07G093700,Glyma.08G044700,Glyma.09G182600","Potri.008G123300,Potri.010G122200,Potri.012G055100","Seita.3G156900","Sevir.3G159900"
"S.bicolor","Sobic.001G094300",NA,"S",NA,NA,NA,NA,"Inferred","AT3G22890","AT3G22890,AT4G14680,AT5G43780","Medtr1g102550","LOC_Os03g53230","Traes_5BL_5CED2C911,Traes_5DL_BCEFD69DA","GRMZM2G051270,GRMZM2G149952","Glyma.10G242600,Glyma.20G151500","Potri.008G159000,Potri.010G081200","Seita.9G096900","Sevir.9G095300"
"S.bicolor","Sobic.004G339800",NA,"P",NA,NA,NA,NA,"Inferred","AT3G23430,LOC_Os02g56510","AT3G23430","Medtr1g041695,Medtr1g075640","LOC_Os02g56510","Traes_6DL_C4DC2B23A","GRMZM2G466545","Glyma.02G003700,Glyma.10G004800,Glyma.10G183300,Glyma.20G206900","Potri.008G169400,Potri.010G069000","Seita.1G360400","Sevir.1G367100"
"S.bicolor","Sobic.001G132400",NA,"Na",NA,NA,NA,NA,"Inferred","AT3G47950","AT3G47950,AT5G62670","Medtr4g107500","","","GRMZM2G068259","Glyma.04G174800,Glyma.05G030700,Glyma.06G189900,Glyma.17G096100","Potri.012G071600,Potri.015G066000","Seita.9G134900","Sevir.9G133800"
"S.bicolor","Sobic.008G190500",NA,"Na",NA,NA,NA,NA,"Inferred","AT3G47950","AT3G47950,AT5G62670","Medtr4g107500","LOC_Os12g44150","Traes_5AS_FDCDBC783,Traes_5BS_7DDBE5B89,Traes_5DS_DECAA37DD","GRMZM2G035520","Glyma.04G174800,Glyma.05G030700,Glyma.06G189900,Glyma.17G096100","Potri.012G071600,Potri.015G066000","Seita.3G406700","Sevir.3G424800"
"S.bicolor","Sobic.009G257800",NA,"P,K",NA,NA,NA,NA,"Inferred","AT3G51860","AT2G38170,AT3G51860","Medtr4g016720,Medtr5g070330","LOC_Os05g51610","Traes_2AL_26065F906,Traes_2BL_445F5B3B7,Traes_2DL_2A2F4F62B","GRMZM5G809587","Glyma.01G122800,Glyma.03G058300,Glyma.03G058500,Glyma.07G149600,Glyma.18G200500","Potri.001G251200,Potri.006G099900,Potri.009G045800,Potri.016G115500","Seita.3G120500","Sevir.3G122500"
"S.bicolor","Sobic.001G496800",NA,"S",NA,NA,NA,NA,"Inferred","AT3G51895","AT3G51895","Medtr1g071530,Medtr7g095430","LOC_Os03g06520","Traes_4AS_68B3D79A1,Traes_4BL_0C898C5C8","GRMZM2G154211","Glyma.02G145100,Glyma.03G156700,Glyma.10G028900,Glyma.19G159000","Potri.002G049500,Potri.005G213500,Potri.008G156600,Potri.010G082700","Seita.9G532700","Sevir.9G537000"
"S.bicolor","Sobic.003G428800",NA,"Fe",NA,NA,NA,NA,"Inferred","AT3G56970,AT3G56980","AT2G41240,AT3G56970,AT3G56980,AT5G04150","Medtr1g048710,Medtr1g048720,Medtr1g048750,Medtr7g090410","LOC_Os01g72370","Traes_3B_089C0C2EB,Traes_3B_2A12B8F93","GRMZM2G057413","Glyma.03G130400,Glyma.03G130600,Glyma.19G132500","Potri.006G037200,Potri.006G037600,Potri.016G037300","Seita.5G455700","Sevir.5G462400"
"S.bicolor","Sobic.001G445000",NA,"Mn",NA,NA,NA,NA,"Inferred","AT3G58060,LOC_Os03g12530","AT3G58060","Medtr3g062610,Medtr5g075680","LOC_Os03g12530","Traes_4AS_B5D20D324,Traes_4DL_84BDB65D9","GRMZM2G118497","Glyma.03G146700","Potri.001G010200,Potri.001G010300,Potri.003G215600","Seita.9G478600","Sevir.9G482200"
"S.bicolor","Sobic.004G315400",NA,"Mn",NA,NA,NA,NA,"Inferred","AT3G58060,LOC_Os02g53490","AT3G58060","","LOC_Os02g53490","","GRMZM5G862882","","","Seita.1G337100","Sevir.1G343700"
"S.bicolor","Sobic.001G309400",NA,"Mg",NA,NA,NA,NA,"Inferred","AT3G58970","AT3G58970","Medtr8g088670","LOC_Os10g39790","Traes_1AL_B39515B38","GRMZM2G453832","Glyma.05G168200,Glyma.08G126600","Potri.006G081700","Seita.9G337700","Sevir.9G341300"
"S.bicolor","Sobic.001G248600",NA,"Fe",NA,NA,NA,NA,"Inferred","AT4G02780","AT4G02780","Medtr7g011663,Medtr7g011770,Medtr7g094970","LOC_Os02g17780","Traes_1BS_8A9B3CE82,Traes_1DS_CD37D3A95,Traes_7DL_02E7F7D6A,Traes_7DL_211D5CA44","GRMZM2G081554","Glyma.03G154400,Glyma.03G154700,Glyma.19G157000","Potri.002G052100,Potri.005G210300","Seita.9G262400","Sevir.9G265300"
"S.bicolor","Sobic.003G145800",NA,"Na",NA,NA,NA,NA,"Inferred","AT4G10310,LOC_Os01g20160,Traes_4DL_3F8034BFD,GRMZM2G047616","AT4G10310","","LOC_Os01g20160","Traes_4DL_3F8034BFD","GRMZM2G047616","Glyma.06G271600,Glyma.12G133400","Potri.018G132200","Seita.5G192900","Sevir.5G023200,Sevir.5G195200"
"S.bicolor","Sobic.001G195800",NA,"B",NA,NA,NA,NA,"Inferred","AT4G10380,GRMZM2G176209","AT4G10380","Medtr1g097840","LOC_Os10g36924","Traes_1BL_CC64CA41E","GRMZM2G176209","Glyma.10G221100,Glyma.20G170400","Potri.001G455000,Potri.011G146900","Seita.9G193500","Sevir.9G193400"
"S.bicolor","Sobic.003G413600",NA,"Rb,Cs",NA,NA,NA,NA,"Inferred","AT4G13420","AT4G13420","Medtr4g099260,Medtr8g022130,Medtr8g088200","LOC_Os01g70490","Traes_3AL_6B9D38F0F,Traes_3AL_9E0B84E84,Traes_3B_75C958395,Traes_3B_FF56F227D,Traes_3DL_598708C12,Traes_3DL_E912993A9","","Glyma.03G264100,Glyma.07G042500,Glyma.19G263100","Potri.001G045200,Potri.001G069600,Potri.T133800,Potri.T134000","Seita.5G439500","Sevir.5G446100"
"S.bicolor","Sobic.003G413700",NA,"Rb,Cs,K",NA,NA,NA,NA,"Inferred","AT4G13420,GRMZM2G084779","AT4G13420","Medtr4g099260,Medtr8g022130,Medtr8g088200","LOC_Os01g70490","Traes_3AL_6B9D38F0F,Traes_3AL_9E0B84E84,Traes_3B_75C958395,Traes_3B_FF56F227D,Traes_3DL_598708C12,Traes_3DL_E912993A9","GRMZM2G084779","Glyma.03G264100,Glyma.07G042500,Glyma.19G263100","Potri.001G045200,Potri.001G069600,Potri.T133800,Potri.T134000","",""
"S.bicolor","Sobic.001G087700",NA,"Fe,Cd",NA,NA,NA,NA,"Inferred","AT4G16370","AT4G16370","Medtr4g133968","LOC_Os03g54000","Traes_5BL_1FB170E61","GRMZM2G421491","Glyma.07G267800,Glyma.17G006100","Potri.006G006000,Potri.016G006500","Seita.9G090100","Sevir.9G088600"
