Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
Medtr1g016280,chr1,4298714,4299183,1.4.4.2 - Glycine dehydrogenase (aminomethyl-transferring) / Glycine-cleavage complex P-protein (1 of 2)
Medtr2g085045,chr2,36094677,36096748,PF02238 - Cytochrome c oxidase subunit VIIa (COX7a)  (1 of 3)
Medtr8g086580,chr8,35915020,35915586,PTHR23012//PTHR23012:SF76 - MEMBRANE ASSOCIATED RING FINGER // SUBFAMILY NOT NAMED (1 of 4)
Medtr7g089860,chr7,35219206,35219959,"PTHR33624:SF2 - SIGMA FACTOR BINDING PROTEIN 1, CHLOROPLASTIC-RELATED (1 of 1)"
Medtr2g031240,chr2,11854907,11864841,"PTHR12049:SF5 - NADH DEHYDROGENASE [UBIQUINONE] COMPLEX I, ASSEMBLY FACTOR 7 HOMOLOG (1 of 1)"
Medtr1g023925,chr1,7707992,7708506,PTHR32295:SF16 - PROTEIN IQ-DOMAIN 32 (1 of 4)
Medtr1g087740,chr1,39262025,39262276,
Medtr3g051790,chr3,20511549,20512094,2.3.1.196 - Benzyl alcohol O-benzoyltransferase (1 of 20)
Medtr4g014750,chr4,4209698,4213542,PTHR13312//PTHR13312:SF2 - HIV-INDUCED PROTEIN-7-LIKE PROTEASE // SUBFAMILY NOT NAMED (1 of 1)
Medtr8g070920,chr8,30054991,30055143,
Medtr1g022105,chr1,6840265,6841493,PF00646 - F-box domain (F-box)  (1 of 811)
Medtr4g010150,chr4,2249018,2251257,"K00507 - stearoyl-CoA desaturase (delta-9 desaturase) (SCD, desC)  (1 of 1)"
Medtr5g089150,chr5,38745400,38746522,2.7.10.1//2.7.10.2//2.7.11.1 - Receptor protein-tyrosine kinase / Receptor protein tyrosine kinase // Non-specific protein-tyrosine kinase / Cytoplasmic protein tyrosine kinase // Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 3)
Medtr7g029505,chr7,10572348,10573341,
Medtr7g451500,chr7,17357752,17358859,PF00234 - Protease inhibitor/seed storage/LTP family (Tryp_alpha_amyl)  (1 of 34)
Medtr3g087250,chr3,39552904,39556849,1.14.11.33 - DNA oxidative demethylase / Alkylated DNA repair protein (1 of 5)
Medtr3g048545,chr3,17993468,17994739,
Medtr7g014340,chr7,4292205,4293703,PTHR31625:SF5 - ACYLTRANSFERASE-LIKE PROTEIN-RELATED (1 of 21)
Medtr3g011270,chr3,2745408,2751943,
Medtr8g079120,chr8,33758063,33760941,
Medtr8g014160,chr8,4407346,4410168,PF00646//PF08387 - F-box domain (F-box)  // FBD (FBD)  (1 of 76)
Medtr4g107900,chr4,44721183,44722346,PTHR23272//PTHR23272:SF0 - BED FINGER-RELATED // SUBFAMILY NOT NAMED (1 of 4)
Medtr3g072990,chr3,32849056,32853402,
Medtr5g091250,chr5,39766102,39772704,
Medtr1g105010,chr1,47329753,47330441,PTHR12346 - SIN3B-RELATED (1 of 35)
Medtr3g465120,chr3,26329609,26334153,K15892 - farnesol kinase (FOLK)  (1 of 1)
Medtr3g015530,chr3,4509861,4510640,PF03101 - FAR1 DNA-binding domain (FAR1)  (1 of 70)
Medtr4g127000,chr4,52675113,52675983,
Medtr3g080310,chr3,36320558,36321437,PF00646 - F-box domain (F-box)  (1 of 811)
Medtr4g081350,chr4,31532897,31536132,
Medtr1g069645,chr1,30310532,30316207,K01900 - succinyl-CoA synthetase beta subunit (LSC2)  (1 of 1)
Medtr5g006000,chr5,720702,722505,
Medtr6g007710,chr6,1837453,1837713,
Medtr3g061430,chr3,24493451,24493798,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1760)
Medtr4g046820,chr4,16672774,16674936,
Medtr1g034210,chr1,12425305,12431498,
Medtr7g080760,chr7,30748166,30752690,PTHR20863//PTHR20863:SF30 - ACYL CARRIER PROTEIN/ZINC FINGER PROTEIN 593-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Medtr2g005260,chr2,107935,109143,
Medtr7g117120,chr7,48372286,48372845,PTHR33978:SF2 - EXPRESSED PROTEIN (1 of 3)
Medtr5g071960,chr5,30612203,30612547,
Medtr1g068580,chr1,29381031,29382847,
Medtr4g064150,chr4,23910953,23914035,PF03514 - GRAS domain family (GRAS)  (1 of 67)
Medtr3g084150,chr3,38024255,38025324,K14488 - SAUR family protein (SAUR)  (1 of 124)
Medtr3g074920,chr3,33851925,33852077,
Medtr6g086365,chr6,32459573,32461334,PTHR33374:SF6 - ARABINOGALACTAN PEPTIDE 16-RELATED (1 of 5)
Medtr4g091530,chr4,36274735,36276580,PF00564 - PB1 domain (PB1)  (1 of 52)
Medtr3g058840,chr3,23456722,23466090,
Medtr3g452380,chr3,19134712,19142846,
Medtr2g079510,chr2,33476593,33482137,"K14537 - nuclear GTP-binding protein (NUG2, GNL2)  (1 of 4)"
Medtr8g010700,chr8,2830976,2834119,PTHR10366:SF384 - NAD(P)-BINDING ROSSMANN-FOLD SUPERFAMILY PROTEIN (1 of 1)
Medtr3g011190,chr3,2726008,2727501,PF00646 - F-box domain (F-box)  (1 of 811)
Medtr2g037710,chr2,16341812,16342708,PTHR13683:SF359 - ASPARTYL PROTEASE FAMILY PROTEIN (1 of 2)
Medtr0002s0700,scaffold0002,262331,262582,K02707 - photosystem II cytochrome b559 subunit alpha (psbE)  (1 of 3)
Medtr7g023360,chr7,7659381,7661593,
Medtr4g132700,chr4,55486768,55494184,2.7.1.90 - Diphosphate--fructose-6-phosphate 1-phosphotransferase / Pyrophosphate-dependent 6-phosphofructose-1-kinase (1 of 3)
Medtr6g007070,chr6,1399109,1404540,
Medtr4g109350,chr4,45410429,45411412,
Medtr4g047920,chr4,16898923,16900083,"K02886 - large subunit ribosomal protein L2 (RP-L2, MRPL2, rplB)  (1 of 7)"
Medtr5g094130,chr5,41112260,41115481,"K02153 - V-type H+-transporting ATPase subunit e (ATPeV0E, ATP6H)  (1 of 1)"
Medtr0012s0070,scaffold0012,22771,23729,
Medtr6g445320,chr6,15726667,15728469,PF12854//PF13041 - PPR repeat (PPR_1)  // PPR repeat family (PPR_2)  (1 of 34)
Medtr6g048250,chr6,17403678,17408073,PTHR24343//PTHR24343:SF156 - SERINE/THREONINE KINASE // SUBFAMILY NOT NAMED (1 of 4)
Medtr1g061250,chr1,26778874,26779666,
Medtr7g050750,chr7,17716045,17718635,K13963 - serpin B (SERPINB)  (1 of 22)
Medtr6g009540,chr6,2841276,2843419,PTHR23070:SF44 - AAA-TYPE ATPASE FAMILY PROTEIN-RELATED (1 of 6)
Medtr3g089400,chr3,16223015,16228132,2.4.1.67 - Galactinol--raffinose galactosyltransferase / Stachyose synthetase (1 of 5)
Medtr5g061890,chr5,25726711,25728497,PTHR31384:SF19 - AUXIN RESPONSE FACTOR 17 (1 of 19)
Medtr1g051065,chr1,19912224,19914043,
Medtr8g045880,chr8,17944953,17951791,PTHR31236:SF2 - DEHYDRATION-RESPONSIVE PROTEIN RD22 (1 of 22)
Medtr8g005720,chr8,292755,295306,PTHR11584 - SERINE/THREONINE PROTEIN KINASE (1 of 7)
Medtr1g102365,chr1,46226887,46228604,
Medtr8g077290,chr8,32939870,32943504,
Medtr6g048110,chr6,17351356,17353816,
Medtr3g069790,chr3,31255972,31259951,PTHR24015:SF846 - ADENYLYL CYCLASE (1 of 1)
Medtr2g073260,chr2,31030551,31040510,PTHR10788:SF6 - BCDNA.GH08860 (1 of 4)
Medtr8g076040,chr8,32168346,32169000,PTHR31374:SF35 - AUXIN-INDUCED PROTEIN-RELATED (1 of 4)
Medtr7g021120,chr7,6626931,6628284,
Medtr1g085570,chr1,38222828,38224321,PTHR12725//PTHR12725:SF49 - HALOACID DEHALOGENASE-LIKE HYDROLASE // SUBFAMILY NOT NAMED (1 of 1)
Medtr1g023210,chr1,7398040,7401108,PTHR12411//PTHR12411:SF365 - CYSTEINE PROTEASE FAMILY C1-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Medtr5g098775,chr5,43254503,43255326,
Medtr6g012180,chr6,3615718,3617850,PTHR10641:SF641 - MYB FAMILY TRANSCRIPTION FACTOR (1 of 5)
Medtr1g071470,chr1,31712926,31714915,PTHR10209:SF170 - 2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE SUPERFAMILY PROTEIN (1 of 1)
Medtr7g075885,chr7,28511869,28515935,"PTHR31846:SF9 - CRS2-ASSOCIATED FACTOR 1, MITOCHONDRIAL (1 of 1)"
Medtr1g044095,chr1,16491132,16497663,
Medtr5g025390,chr5,10298947,10299219,
Medtr5g049420,chr5,21662446,21664009,
Medtr1g079810,chr1,35464460,35466332,PTHR31100:SF3 - AT-HOOK MOTIF NUCLEAR LOCALIZED PROTEIN 19-RELATED (1 of 4)
Medtr4g093950,chr4,37179506,37180366,
Medtr5g043370,chr5,19061345,19061515,
Medtr2g102850,chr2,44299383,44309005,
Medtr1g094045,chr1,42235840,42238314,PF13837 - Myb/SANT-like DNA-binding domain (Myb_DNA-bind_4)  (1 of 36)
Medtr3g070490,chr3,31630253,31631053,PTHR33469:SF5 - PROTEIN EARLY FLOWERING 4 (1 of 1)
Medtr3g112140,chr3,52486178,52486637,
Medtr7g093430,chr7,37139196,37141155,K09338 - homeobox-leucine zipper protein (HD-ZIP)  (1 of 45)
Medtr5g057780,chr5,23674939,23675922,
Medtr3g086300,chr3,39057139,39061523,PTHR22870//PTHR22870:SF192 - REGULATOR OF CHROMOSOME CONDENSATION // SUBFAMILY NOT NAMED (1 of 1)
Medtr3g051730,chr3,20465874,20480767,K14861 - nucleolar pre-ribosomal-associated protein 1 (URB1)  (1 of 1)
Medtr8g070830,chr8,30008653,30014945,PTHR30249 - PUTATIVE SEROTONIN TRANSPORTER (1 of 1)
Medtr6g027570,chr6,9551325,9553058,PTHR12266:SF8 - CATION/CALCIUM EXCHANGER 2 (1 of 2)
Medtr1g067630,chr1,29190989,29198055,PTHR24115:SF525 - ATP BINDING MICROTUBULE MOTOR FAMILY PROTEIN (1 of 1)
Medtr5g061840,chr5,25691695,25693520,PTHR12681 - ZINC FINGER-CONTAINING PROTEIN P48ZNF (1 of 2)
Medtr7g097230,chr7,39119769,39126150,
Medtr1g021150,chr1,6288645,6293029,
Medtr2g020040,chr2,6639730,6643639,PTHR21319//PTHR21319:SF5 - RING FINGER AND CHY ZINC FINGER DOMAIN-CONTAINING PROTEIN 1 // SUBFAMILY NOT NAMED (1 of 1)
Medtr2g104930,chr2,45228954,45229298,PF10043 - Predicted periplasmic lipoprotein (DUF2279) (DUF2279)  (1 of 1)
Medtr1g099280,chr1,44808963,44816396,
Medtr0029s0020,scaffold0029,2074,3510,
Medtr8g069755,chr8,29391492,29393394,PTHR11220//PTHR11220:SF36 - HEME-BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Medtr0043s0080,scaffold0043,50461,55119,
Medtr7g098920,chr7,39638160,39639381,PTHR10527//PTHR10527:SF29 - IMPORTIN BETA // SUBFAMILY NOT NAMED (1 of 3)
Medtr8g023500,chr8,8498083,8502011,KOG4539 - Uncharacterized conserved protein (1 of 1)
Medtr7g115460,chr7,47712772,47717791,"PTHR11183:SF39 - PROTEIN GYG-1, ISOFORM A (1 of 2)"
Medtr1g105300,chr1,47410581,47410733,
Medtr6g071595,chr6,26550010,26554150,PTHR10502//PTHR10502:SF120 - ANNEXIN // SUBFAMILY NOT NAMED (1 of 3)
Medtr4g094595,chr4,38325533,38333942,"PTHR12526:SF304 - STARCH SYNTHASE 4, CHLOROPLASTIC/AMYLOPLASTIC-RELATED (1 of 1)"
Medtr3g064660,chr3,29140127,29141066,
Medtr6g037780,chr6,13482265,13482795,PF04043 - Plant invertase/pectin methylesterase inhibitor (PMEI)  (1 of 133)
Medtr4g108800,chr4,45083256,45087565,"K01783 - ribulose-phosphate 3-epimerase (rpe, RPE)  (1 of 2)"
Medtr1g105720,chr1,47694479,47695052,
Medtr7g061550,chr7,22184367,22187445,PTHR10641:SF457 - TRANSCRIPTION FACTOR AS1 (1 of 1)
Medtr8g045463,chr8,17750943,17754791,"K14961 - COMPASS component SWD1 (RBBP5, SWD1, CPS50)  (1 of 4)"
Medtr0373s0020,scaffold0373,3730,5539,
Medtr1g067340,chr1,29013916,29015534,
Medtr3g007380,chr3,1003568,1004305,PF00646 - F-box domain (F-box)  (1 of 811)
Medtr8g092180,chr8,38517011,38521583,
Medtr4g074230,chr4,28258835,28265511,
Medtr5g030610,chr5,12982784,12987786,PTHR22691 - YEAST SPT2-RELATED (1 of 1)
Medtr1g011755,chr1,2239566,2245149,PTHR10217:SF504 - POTASSIUM CHANNEL AKT1-RELATED (1 of 6)
Medtr5g464700,chr5,26865090,26865637,"PTHR22773:SF92 - NAD(P)H-QUINONE OXIDOREDUCTASE CHAIN 4, CHLOROPLASTIC (1 of 40)"
Medtr3g095630,chr3,43693406,43694063,PF08387 - FBD (FBD)  (1 of 223)
Medtr0393s0040,scaffold0393,11587,13044,
Medtr8g086390,chr8,35830889,35836670,PTHR27001:SF83 - LRR RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE MRH1-RELATED (1 of 4)
Medtr1g075650,chr1,33521007,33522875,1.1.3.20 - Long-chain-alcohol oxidase (1 of 7)
Medtr3g435460,chr3,11610138,11613272,"PTHR21649:SF17 - CHLOROPHYLL A-B BINDING PROTEIN 4, CHLOROPLASTIC (1 of 1)"
Medtr8g089345,chr8,37128340,37128606,
Medtr6g477680,chr6,28499439,28503683,KOG4762 - DNA replication factor (1 of 4)
Medtr6g008140,chr6,2184035,2188736,
Medtr2g460800,chr2,25088304,25093407,PTHR10994:SF84 - RETICULON-LIKE PROTEIN B21 (1 of 1)
Medtr1g037130,chr1,13644540,13658266,PTHR23155//PTHR23155:SF554 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 89)
Medtr5g045880,chr5,20121578,20122213,
Medtr7g012560,chr7,3558595,3560891,PTHR13169:SF4 - MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 1-RELATED (1 of 2)
Medtr8g089685,chr8,37329168,37334154,
Medtr2g016510,chr2,5071193,5071534,
Medtr0019s0340,scaffold0019,182021,182251,
Medtr4g080773,chr4,31235653,31240480,
Medtr3g018865,chr3,5217027,5217215,PF07127 - Late nodulin protein (Nodulin_late)  (1 of 603)
Medtr6g011890,chr6,3572293,3573452,K08912 - light-harvesting complex II chlorophyll a/b binding protein 1 (LHCB1)  (1 of 7)
Medtr7g089440,chr7,35008143,35013294,"K03142 - transcription initiation factor TFIIH subunit 2 (TFIIH2, GTF2H2, SSL1)  (1 of 1)"
Medtr5g075220,chr5,31949940,31954029,PTHR13902:SF49 - SERINE/THREONINE-PROTEIN KINASE WNK4-RELATED (1 of 3)
Medtr2g062560,chr2,26410129,26414001,PTHR22600//PTHR22600:SF14 - BETA-HEXOSAMINIDASE // SUBFAMILY NOT NAMED (1 of 1)
Medtr7g114890,chr7,47432969,47434350,
Medtr3g460960,chr3,24044398,24046991,PTHR24055:SF196 - MITOGEN-ACTIVATED PROTEIN KINASE 14-RELATED (1 of 8)
Medtr1g068945,chr1,29498156,29500343,PTHR13803//PTHR13803:SF11 - SEC24-RELATED PROTEIN // SUBFAMILY NOT NAMED (1 of 4)
Medtr8g006290,chr8,567340,570457,KOG3734 - Predicted phosphoglycerate mutase (1 of 4)
Medtr3g060800,chr3,24114770,24114955,
Medtr1g007510,chr1,413021,417854,K02349 - DNA polymerase theta [EC:2.7.7.7] (POLQ)  (1 of 2)
Medtr0152s0100,scaffold0152,28625,32222,
Medtr4g055520,chr4,20234769,20240613,
Medtr4g068210,chr4,25570695,25576398,
Medtr3g013460,chr3,3620649,3623394,PTHR35753:SF1 - PROLINE-RICH FAMILY PROTEIN (1 of 1)
Medtr2g072720,chr2,30715415,30717386,PF08387 - FBD (FBD)  (1 of 223)
Medtr4g126030,chr4,52374556,52377757,3.4.22.25 - Glycyl endopeptidase / Papaya proteinase IV (1 of 1)
Medtr7g062720,chr7,22824311,22825240,
Medtr3g055700,chr3,21927309,21928943,
Medtr3g111910,chr3,52376402,52377332,
Medtr4g451315,chr4,18199729,18202205,
Medtr4g078760,chr4,30435130,30437233,PTHR11266:SF37 - EXPRESSED PROTEIN (1 of 1)
Medtr1g066400,chr1,28529658,28532902,
Medtr1g068965,chr1,29513381,29515006,"K02997 - small subunit ribosomal protein S9e (RP-S9e, RPS9)  (1 of 5)"
Medtr1g058960,chr1,21825289,21826239,K03043 - DNA-directed RNA polymerase subunit beta (rpoB)  (1 of 2)
Medtr8g069580,chr8,29222694,29228317,PF03080//PF14365 - Domain of unknown function (DUF239) (DUF239)  // Domain of unknown function (DUF4409) (DUF4409)  (1 of 34)
Medtr4g080110,chr4,31052262,31057732,PTHR11679:SF29 - SEC1 FAMILY DOMAIN-CONTAINING PROTEIN 2 (1 of 1)
Medtr3g083050,chr3,37481672,37482485,
Medtr8g052205,chr8,19413316,19413570,
Medtr6g018690,chr6,7196560,7198296,PTHR31722:SF10 - F1O19.11 PROTEIN (1 of 2)
Medtr1g098160,chr1,44168700,44177973,
Medtr1g100860,chr1,45280651,45285660,PTHR11132:SF136 - GDP-MANNOSE TRANSPORTER GONST3 (1 of 2)
Medtr8g107220,chr8,45307971,45310127,
Medtr4g039680,chr4,14111599,14114367,PTHR31265:SF2 - F17A17.37 PROTEIN (1 of 4)
Medtr1g035890,chr1,13114107,13116604,PTHR31642:SF12 - PROTEIN ECERIFERUM 1 (1 of 3)
Medtr3g067445,chr3,30068851,30072961,
Medtr6g033450,chr6,10796892,10797938,PF00407 - Pathogenesis-related protein Bet v I family (Bet_v_1)  (1 of 36)
Medtr3g027090,chr3,8382516,8384675,PTHR12452 - 42-9-9 PROTEIN-RELATED (1 of 1)
Medtr5g048740,chr5,21317870,21321767,1.14.11.32 - Codeine 3-O-demethylase / Codeine O-demethylase (1 of 25)
Medtr7g051430,chr7,18018353,18024257,
Medtr7g023540,chr7,7671162,7674651,PTHR12789 - DENSITY-REGULATED PROTEIN HOMOLOG (1 of 1)
Medtr4g058710,chr4,21596668,21603376,PTHR27001:SF78 - RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE NCRK (1 of 2)
Medtr4g022660,chr4,7593393,7603212,
Medtr8g044950,chr8,17029980,17030198,
Medtr6g092600,chr6,34873668,34873895,PTHR10910//PTHR10910:SF111 - EUKARYOTE SPECIFIC DSRNA BINDING PROTEIN // SUBFAMILY NOT NAMED (1 of 2)
Medtr2g090445,chr2,38583783,38585127,
Medtr2g038290,chr2,16672023,16675297,
Medtr0782s0010,scaffold0782,4820,5713,
Medtr8g052350,chr8,19479814,19480422,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1760)
Medtr4g108570,chr4,44980061,44984273,"K11290 - template-activating factor I (SET, TAF1, I2PP2A)  (1 of 4)"
Medtr8g099925,chr8,42317440,42319688,
Medtr8g030890,chr8,11496691,11502087,PTHR21493//PTHR21493:SF150 - CGI-141-RELATED/LIPASE CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Medtr8g093880,chr8,39287268,39292167,KOG3116 - Predicted C3H1-type Zn-finger protein (1 of 1)
Medtr4g037105,chr4,13636200,13641813,3.1.3.41 - 4-nitrophenylphosphatase (1 of 3)
Medtr0110s0020,scaffold0110,11746,13485,PTHR10353:SF28 - BETA-GLUCOSIDASE 43-RELATED (1 of 3)
Medtr4g099290,chr4,41155928,41162776,
Medtr5g013130,chr5,4128722,4131297,PTHR27002:SF34 - G-TYPE LECTIN S-RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE RLK1 (1 of 8)
Medtr3g098620,chr3,45036736,45044608,"KOG4660 - Protein Mei2, essential for commitment to meiosis, and related proteins (1 of 7)"
Medtr3g080700,chr3,36528510,36528695,
Medtr1g072530,chr1,32181215,32184171,PF00010 - Helix-loop-helix DNA-binding domain (HLH)  (1 of 161)
Medtr8g470180,chr8,25648349,25652187,
Medtr3g115650,chr3,54134869,54137977,
Medtr3g464010,chr3,25708364,25710409,PTHR12542//PTHR12542:SF29 - EXOCYST COMPLEX PROTEIN EXO70 // SUBFAMILY NOT NAMED (1 of 19)
Medtr3g098960,chr3,45340418,45343002,
Medtr8g091560,chr8,38207315,38209834,K16282 - E3 ubiquitin-protein ligase RHA2 [EC:6.3.2.19] (RHA2)  (1 of 8)
Medtr7g103870,chr7,42007018,42009480,PF00024 - PAN domain (PAN_1)  (1 of 1)
Medtr5g044825,chr5,19667759,19668058,
Medtr1g064560,chr1,28404485,28406967,PTHR27003:SF24 - SERINE/THREONINE-PROTEIN KINASE-LIKE PROTEIN CCR2 (1 of 1)
Medtr6g055620,chr6,19952267,19952434,
Medtr5g049760,chr5,21765862,21766014,
Medtr3g105590,chr3,48693709,48698381,PTHR24423:SF475 - HISTIDINE KINASE 5 (1 of 3)
Medtr5g088760,chr5,38540164,38543606,
Medtr3g462750,chr3,25087602,25087832,
Medtr2g006340,chr2,545753,546247,
Medtr2g080270,chr2,33883039,33886037,
Medtr6g011390,chr6,3207208,3211704,PTHR11743//PTHR11743:SF31 - VOLTAGE-DEPENDENT ANION-SELECTIVE CHANNEL // SUBFAMILY NOT NAMED (1 of 3)
Medtr5g078650,chr5,33616889,33618179,1.10.3.2 - Laccase / Urishiol oxidase (1 of 33)
Medtr4g021535,chr4,7051067,7058697,
Medtr4g105680,chr4,43869992,43874069,PTHR14209//PTHR14209:SF2 - ISOAMYL ACETATE-HYDROLYZING ESTERASE 1 // SUBFAMILY NOT NAMED (1 of 1)
Medtr2g073250,chr2,31026904,31029519,PTHR27002:SF31 - G-TYPE LECTIN S-RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE SD2-5 (1 of 8)
Medtr4g046100,chr4,16176113,16176916,PF14111 - Domain of unknown function (DUF4283) (DUF4283)  (1 of 116)
Medtr7g053160,chr7,18698849,18702573,"K02991 - small subunit ribosomal protein S6e (RP-S6e, RPS6)  (1 of 3)"
Medtr1g090370,chr1,40491958,40493342,PTHR22952//PTHR22952:SF172 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Medtr4g092560,chr4,36690715,36692042,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1760)
Medtr2g031810,chr2,12056777,12058007,PTHR31585:SF2 - FOLATE-BIOPTERIN TRANSPORTER 7-RELATED (1 of 4)
Medtr3g449250,chr3,16681206,16688391,PTHR24031//PTHR24031:SF296 - RNA HELICASE // SUBFAMILY NOT NAMED (1 of 1)
Medtr6g463570,chr6,22063943,22064178,
Medtr3g107995,chr3,49902732,49905143,PTHR14155:SF143 - C3H4 TYPE ZINC FINGER PROTEIN (1 of 2)
Medtr8g027450,chr8,9749040,9753702,"K18423 - exportin-2 (importin alpha re-exporter) (CSE1, CAS, XPO2)  (1 of 2)"
Medtr2g436400,chr2,14152329,14153803,"K15032 - mTERF domain-containing protein, mitochondrial (MTERFD)  (1 of 32)"
Medtr2g023810,chr2,8430802,8431764,PF14476 - Petal formation-expressed (Chloroplast_duf)  (1 of 16)
Medtr4g019900,chr4,6356773,6361568,PF12043 - Domain of unknown function (DUF3527) (DUF3527)  (1 of 9)
Medtr5g067530,chr5,28543252,28545616,PTHR10791:SF34 - BIDIRECTIONAL SUGAR TRANSPORTER SWEET15 (1 of 4)
Medtr5g015855,chr5,5569403,5570499,"PTHR10849 - NADH DEHYDROGENASE  UBIQUINONE  IRON-SULFUR PROTEIN 8, MITOCHONDRIAL (1 of 9)"
Medtr1g026400,chr1,8564269,8568905,K07583 - tRNA pseudouridine synthase 10 [EC:5.4.99.-] (PUS10)  (1 of 1)
Medtr3g086520,chr3,39200567,39204931,
Medtr8g044930,chr8,17027329,17027631,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1760)
Medtr6g471400,chr6,25630975,25632625,
Medtr7g039320,chr7,14592916,14600556,
Medtr8g077180,chr8,32812969,32815987,K01507 - inorganic pyrophosphatase (ppa)  (1 of 7)
Medtr7g451010,chr7,17102962,17112594,PTHR11566:SF80 - DYNAMIN-RELATED PROTEIN 1C (1 of 4)
Medtr2g014840,chr2,4311787,4315783,PTHR23155//PTHR23155:SF562 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 8)
Medtr2g084455,chr2,35601209,35601678,
Medtr3g096790,chr3,44297240,44304262,
Medtr3g012060,chr3,3200226,3204043,"K13457 - disease resistance protein RPM1 (RPM1, RPS3)  (1 of 36)"
Medtr4g099120,chr4,41046695,41047357,PTHR38384:SF1 - MEMBRANE LIPOPROTEIN-RELATED (1 of 2)
Medtr2g103600,chr2,44607548,44609705,PTHR22936:SF41 - F6D8.20 (1 of 2)
Medtr6g049320,chr6,17871919,17872956,PTHR22814:SF129 - COPPER TRANSPORT FAMILY PROTEIN-RELATED (1 of 17)
Medtr4g025420,chr4,8608072,8611720,
Medtr0114s0100,scaffold0114,30332,31232,
Medtr7g113913,chr7,46961830,46962536,
Medtr0028s0320,scaffold0028,120202,120793,
Medtr2g105480,chr2,45480838,45485203,
Medtr2g043540,chr2,18964758,18964943,
Medtr4g023260,chr4,7834686,7840233,PTHR11017:SF169 - DISEASE RESISTANCE PROTEIN-RELATED (1 of 7)
Medtr4g035895,chr4,12708513,12709214,
Medtr4g079960,chr4,30954949,30958270,"KOG4282 - Transcription factor GT-2 and related proteins, contains trihelix DNA-binding/SANT domain (1 of 19)"
