Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
Seita.3G121600,scaffold_3,8192540,8204497,PTHR10799//PTHR10799:SF698 - SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Seita.9G294600,scaffold_9,33615699,33619023,PF11623 - Protein of unknown function (DUF3252) (DUF3252)  (1 of 1)
Seita.1G259100,scaffold_1,33318415,33319206,PF00847 - AP2 domain (AP2)  (1 of 194)
Seita.1G283200,scaffold_1,35357419,35360912,PTHR13856//PTHR13856:SF93 - VHS DOMAIN CONTAINING PROTEIN FAMILY // SUBFAMILY NOT NAMED (1 of 2)
Seita.1G173600,scaffold_1,25023631,25027968,PTHR12931//PTHR12931:SF17 - UBIQUITIN THIOLESTERASE PROTEIN OTUB // SUBFAMILY NOT NAMED (1 of 3)
Seita.5G394900,scaffold_5,42403694,42404870,PF14368 - Probable lipid transfer (LTP_2)  (1 of 110)
Seita.2G239600,scaffold_2,34459926,34461414,"PTHR11260//PTHR11260:SF233 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED (1 of 1)"
Seita.8G150100,scaffold_8,28818995,28821939,PF05266//PF05641 - Protein of unknown function (DUF724) (DUF724)  // Agenet domain (Agenet)  (1 of 3)
Seita.4G042200,scaffold_4,3094556,3098463,"K04554 - ubiquitin-conjugating enzyme E2 J2 (UBE2J2, NCUBE2, UBC6)  (1 of 2)"
Seita.9G544600,scaffold_9,56513717,56517017,K01177 - beta-amylase (E3.2.1.2)  (1 of 7)
Seita.2G408400,scaffold_2,46790817,46794361,"K01304 - pyroglutamyl-peptidase [EC:3.4.19.3] (E3.4.19.3, pcp)  (1 of 2)"
Seita.4G026900,scaffold_4,1761648,1765403,K02834 - ribosome-binding factor A (rbfA)  (1 of 1)
Seita.2G053700,scaffold_2,4277809,4278360,"PTHR14154:SF5 - EARLY LIGHT-INDUCED PROTEIN 1, CHLOROPLASTIC-RELATED (1 of 5)"
Seita.7G010400,scaffold_7,1819136,1823110,
Seita.7G192700,scaffold_7,26710022,26713372,
Seita.5G132000,scaffold_5,11255997,11260318,PF07889 - Protein of unknown function (DUF1664) (DUF1664)  (1 of 5)
Seita.7G028600,scaffold_7,7530315,7558932,
Seita.2G417700,scaffold_2,47317404,47320866,"PTHR21569:SF1 - 28S RIBOSOMAL PROTEIN S9, MITOCHONDRIAL (1 of 1)"
Seita.9G112800,scaffold_9,6951609,6952356,K11251 - histone H2A (H2A)  (1 of 14)
Seita.5G428700,scaffold_5,44807068,44810653,
Seita.2G367300,scaffold_2,44169422,44170494,
Seita.4G060700,scaffold_4,4491785,4493200,PTHR31729:SF0 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF008-RELATED (1 of 1)
Seita.3G077300,scaffold_3,4908635,4912378,PF10184 - Uncharacterized conserved protein (DUF2358) (DUF2358)  (1 of 7)
Seita.4G089100,scaffold_4,7435385,7436534,PF05340 - Protein of unknown function (DUF740) (DUF740)  (1 of 9)
Seita.9G324300,scaffold_9,37491004,37495547,"PF04784//PF14389 - Protein of unknown function, DUF547 (DUF547)  // Leucine-zipper of ternary complex factor MIP1 (Lzipper-MIP1)  (1 of 13)"
Seita.5G401900,scaffold_5,42922620,42923289,
Seita.5G405300,scaffold_5,43207310,43224273,
Seita.8G000500,scaffold_8,46341,47432,PTHR13943//PTHR13943:SF44 - HRAS-LIKE SUPPRESSOR - RELATED // SUBFAMILY NOT NAMED (1 of 5)
Seita.9G019800,scaffold_9,1035168,1038584,PTHR22891//PTHR22891:SF56 - EUKARYOTIC TRANSLATION INITIATION FACTOR 2C // SUBFAMILY NOT NAMED (1 of 2)
Seita.9G347000,scaffold_9,40655276,40656516,"PTHR11260//PTHR11260:SF269 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED (1 of 3)"
Seita.1G295200,scaffold_1,36280905,36286517,PTHR13697//PTHR13697:SF24 - PHOSPHOFRUCTOKINASE // SUBFAMILY NOT NAMED (1 of 2)
Seita.7G042900,scaffold_7,13115044,13118800,PF00069//PF00139 - Protein kinase domain (Pkinase)  // Legume lectin domain (Lectin_legB)  (1 of 49)
Seita.5G425400,scaffold_5,44569287,44571096,
Seita.5G453100,scaffold_5,46316971,46318040,"PTHR11260//PTHR11260:SF236 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED (1 of 11)"
Seita.5G002400,scaffold_5,202162,204236,PTHR10593:SF31 - C2H2-LIKE ZINC FINGER PROTEIN-RELATED (1 of 1)
Seita.3G284000,scaffold_3,26646107,26651303,PTHR11654:SF155 - PROTEIN NRT1/ PTR FAMILY 5.1 (1 of 1)
Seita.1G149100,scaffold_1,18451513,18452121,K14488 - SAUR family protein (SAUR)  (1 of 35)
Seita.5G128100,scaffold_5,10870462,10874647,
Seita.1G138600,scaffold_1,14276159,14281755,PTHR22939//PTHR22939:SF94 - SERINE PROTEASE FAMILY S1C HTRA-RELATED // SUBFAMILY NOT NAMED (1 of 5)
Seita.8G013000,scaffold_8,762103,763381,PF03106 - WRKY DNA -binding domain (WRKY)  (1 of 109)
Seita.4G164500,scaffold_4,25713087,25718525,PF00651//PF07707 - BTB/POZ domain (BTB)  // BTB And C-terminal Kelch (BACK)  (1 of 3)
Seita.9G033800,scaffold_9,1866099,1869709,
Seita.1G195900,scaffold_1,27728855,27731224,"PTHR10388:SF11 - APO PROTEIN 3, MITOCHONDRIAL (1 of 1)"
Seita.8G124600,scaffold_8,23801939,23808020,"K10684 - ubiquitin-like 1-activating enzyme E1 A (UBLE1A, SAE1)  (1 of 2)"
Seita.3G162400,scaffold_3,11834941,11836508,
Seita.2G234600,scaffold_2,33680833,33683340,PTHR11802//PTHR11802:SF56 - SERINE PROTEASE FAMILY S10 SERINE CARBOXYPEPTIDASE // SUBFAMILY NOT NAMED (1 of 2)
Seita.4G053800,scaffold_4,4003557,4008348,K01507 - inorganic pyrophosphatase (ppa)  (1 of 15)
Seita.2G349300,scaffold_2,43000396,43008402,PTHR23253:SF26 - EUKARYOTIC TRANSLATION INITIATION FACTOR 4G (1 of 2)
Seita.7G036600,scaffold_7,11581412,11583191,K00660 - chalcone synthase (CHS)  (1 of 4)
Seita.5G384700,scaffold_5,41645901,41649120,"3.1.3.37 - Sedoheptulose-bisphosphatase / Sedoheptulose-1,7-bisphosphatase (1 of 1)"
Seita.9G161600,scaffold_9,10776164,10777706,PF13855 - Leucine rich repeat (LRR_8)  (1 of 390)
Seita.5G294900,scaffold_5,35116365,35118698,
Seita.9G497500,scaffold_9,53355398,53357256,PTHR13832//PTHR13832:SF361 - PROTEIN PHOSPHATASE 2C // SUBFAMILY NOT NAMED (1 of 1)
Seita.7G296700,scaffold_7,33821002,33823140,PF01535//PF13041//PF13812 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  (1 of 62)
Seita.4G050500,scaffold_4,3739728,3742351,PTHR12542//PTHR12542:SF24 - EXOCYST COMPLEX PROTEIN EXO70 // SUBFAMILY NOT NAMED (1 of 2)
Seita.5G307700,scaffold_5,36074204,36077543,PTHR31221:SF7 - WRKY TRANSCRIPTION FACTOR 24-RELATED (1 of 2)
Seita.3G284700,scaffold_3,26768890,26770969,PTHR11119:SF9 - ADENINE/GUANINE PERMEASE AZG1 (1 of 1)
Seita.1G284100,scaffold_1,35436782,35440138,PTHR11654//PTHR11654:SF163 - OLIGOPEPTIDE TRANSPORTER-RELATED // SUBFAMILY NOT NAMED (1 of 3)
Seita.5G234800,scaffold_5,29773065,29775385,PTHR24282//PTHR24282:SF35 - CYTOCHROME P450 FAMILY MEMBER // SUBFAMILY NOT NAMED (1 of 3)
Seita.6G070200,scaffold_6,6050936,6051961,PTHR10426//PTHR10426:SF28 - STRICTOSIDINE SYNTHASE-RELATED // SUBFAMILY NOT NAMED (1 of 17)
Seita.4G148700,scaffold_4,18730879,18733734,PTHR31375:SF34 - PECTIN LYASE-LIKE SUPERFAMILY PROTEIN (1 of 1)
Seita.2G266200,scaffold_2,36681945,36685760,PTHR22953:SF24 - INACTIVE PURPLE ACID PHOSPHATASE 24-RELATED (1 of 2)
Seita.8G118400,scaffold_8,22314373,22314883,PTHR22595//PTHR22595:SF59 - CHITINASE-RELATED // SUBFAMILY NOT NAMED (1 of 4)
Seita.8G007400,scaffold_8,426576,427823,"PTHR23201//PTHR23201:SF17 - EXTENSIN, PROLINE-RICH PROTEIN // SUBFAMILY NOT NAMED (1 of 3)"
Seita.6G246600,scaffold_6,35420756,35426596,
Seita.5G182900,scaffold_5,23060878,23065664,PTHR11972:SF54 - RESPIRATORY BURST OXIDASE HOMOLOG PROTEIN H-RELATED (1 of 1)
Seita.6G197000,scaffold_6,31838692,31843112,PTHR10766:SF44 - ENDOMEMBRANE FAMILY PROTEIN 70 (1 of 1)
Seita.5G164200,scaffold_5,16047198,16053171,
Seita.7G216800,scaffold_7,28540350,28543552,KOG3131 - Uncharacterized conserved protein (1 of 1)
Seita.6G151500,scaffold_6,27057541,27060319,PTHR33791:SF1 - CHAPERONIN-LIKE RBCX PROTEIN (1 of 1)
Seita.5G446100,scaffold_5,45898356,45899729,PTHR13683//PTHR13683:SF341 - ASPARTYL PROTEASES // SUBFAMILY NOT NAMED (1 of 2)
Seita.5G271100,scaffold_5,33235480,33241695,
Seita.4G227200,scaffold_4,34823412,34830652,"PTHR10825//PTHR10825:SF38 - RING FINGER DOMAIN-CONTAINING, POLYCOMB GROUP COMPONENT // SUBFAMILY NOT NAMED (1 of 4)"
Seita.3G191800,scaffold_3,14516746,14528180,PF00642 - Zinc finger C-x8-C-x5-C-x3-H type (and similar) (zf-CCCH)  (1 of 41)
Seita.9G028800,scaffold_9,1570087,1573293,PTHR30265 - RHO-INTERACTING TRANSCRIPTION TERMINATION FACTOR NUSG (1 of 1)
Seita.5G375400,scaffold_5,41014830,41016676,PF13041//PF13812 - PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  (1 of 14)
Seita.8G218700,scaffold_8,37190166,37190765,
Seita.3G318600,scaffold_3,39490807,39494622,
Seita.8G160000,scaffold_8,30112713,30125292,
Seita.5G279200,scaffold_5,33931458,33937951,PTHR11274 - RAD25/XP-B DNA REPAIR HELICASE (1 of 2)
Seita.1G234200,scaffold_1,31286822,31288740,KOG0987 - DNA helicase PIF1/RRM3 (1 of 46)
Seita.7G148400,scaffold_7,23587981,23591603,PTHR11654//PTHR11654:SF109 - OLIGOPEPTIDE TRANSPORTER-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Seita.3G133700,scaffold_3,9280914,9288817,"PTHR23172:SF19 - AUXILLIN, ISOFORM A (1 of 1)"
Seita.2G431500,scaffold_2,48198445,48200056,1.11.1.7 - Peroxidase / Lactoperoxidase (1 of 159)
Seita.6G132400,scaffold_6,23584023,23588900,"K14611 - solute carrier family 23 (nucleobase transporter), member 1/2 (SLC23A1_2, SVCT1_2)  (1 of 7)"
Seita.3G074200,scaffold_3,4710224,4713550,
Seita.9G332800,scaffold_9,39122234,39127786,PF00069//PF00582//PF04564 - Protein kinase domain (Pkinase)  // Universal stress protein family (Usp)  // U-box domain (U-box)  (1 of 3)
Seita.7G027900,scaffold_7,7085374,7105147,
Seita.2G067700,scaffold_2,5651109,5658574,PTHR33977:SF1 - ZINC ION BINDING PROTEIN (1 of 1)
Seita.2G246600,scaffold_2,35077060,35078487,"KOG1987 - Speckle-type POZ protein SPOP and related proteins with TRAF, MATH and BTB/POZ domains (1 of 33)"
Seita.1G318600,scaffold_1,37910508,37911259,PTHR10270//PTHR10270:SF227 - SOX TRANSCRIPTION FACTOR // SUBFAMILY NOT NAMED (1 of 2)
Seita.1G124600,scaffold_1,10950485,10951354,
Seita.9G055900,scaffold_9,3242855,3246843,"PTHR11817:SF14 - PLASTIDIAL PYRUVATE KINASE 1, CHLOROPLASTIC (1 of 5)"
Seita.7G124200,scaffold_7,21924486,21928738,PTHR10803//PTHR10803:SF8 - ARSENICAL PUMP-DRIVING ATPASE  ARSENITE-TRANSLOCATING ATPASE // SUBFAMILY NOT NAMED (1 of 1)
Seita.7G241500,scaffold_7,30287025,30294572,PTHR23155//PTHR23155:SF520 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 4)
Seita.5G356300,scaffold_5,39693662,39696679,PF00847 - AP2 domain (AP2)  (1 of 194)
Seita.1G124700,scaffold_1,10962582,10964339,2.4.1.203 - Trans-zeatin O-beta-D-glucosyltransferase / Zeatin O-glucosyltransferase (1 of 11)
Seita.9G303900,scaffold_9,35154465,35155210,
Seita.9G536800,scaffold_9,55968138,55979040,
Seita.5G408000,scaffold_5,43373307,43374476,
Seita.9G366400,scaffold_9,42687452,42688928,
Seita.3G023100,scaffold_3,1405296,1410348,PTHR11122:SF11 - ALDOSE 1-EPIMERASE FAMILY PROTEIN-RELATED (1 of 1)
Seita.1G002500,scaffold_1,179442,184899,PTHR11353//PTHR11353:SF102 - CHAPERONIN // SUBFAMILY NOT NAMED (1 of 1)
Seita.6G156900,scaffold_6,27775397,27776769,PF12776 - Myb/SANT-like DNA-binding domain (Myb_DNA-bind_3)  (1 of 33)
Seita.1G013900,scaffold_1,1185261,1188981,K14496 - abscisic acid receptor PYR/PYL family (PYL)  (1 of 8)
Seita.5G258800,scaffold_5,32177206,32180253,PTHR10992:SF834 - ALPHA/BETA-HYDROLASE-LIKE PROTEIN (1 of 3)
Seita.2G382200,scaffold_2,45197629,45203240,6.3.2.12 - Dihydrofolate synthase / H(2)-folate synthetase (1 of 1)
Seita.2G036400,scaffold_2,2983617,2992300,
Seita.9G120300,scaffold_9,7468166,7470588,PTHR19375:SF219 - MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 37A-RELATED (1 of 1)
Seita.9G118200,scaffold_9,7321551,7323863,PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  (1 of 170)
Seita.7G012800,scaffold_7,2221847,2222789,
Seita.9G565700,scaffold_9,57891804,57897657,
Seita.9G546600,scaffold_9,56659553,56661663,
Seita.5G407100,scaffold_5,43314452,43319306,
Seita.3G133200,scaffold_3,9230826,9236656,
Seita.1G233200,scaffold_1,30977956,30978258,
Seita.6G199600,scaffold_6,32045955,32050524,PTHR13832:SF286 - PROTEIN PHOSPHATASE 2C 33-RELATED (1 of 1)
Seita.1G364200,scaffold_1,41240548,41244840,3.4.21.102 - C-terminal processing peptidase / Tsp protease (1 of 5)
Seita.7G075900,scaffold_7,17983545,17987613,PF03169 - OPT oligopeptide transporter protein (OPT)  (1 of 33)
Seita.1G136500,scaffold_1,13757611,13762942,
Seita.3G128700,scaffold_3,8779999,8783104,PTHR10460//PTHR10460:SF13 - ABL INTERACTOR // SUBFAMILY NOT NAMED (1 of 2)
Seita.2G200200,scaffold_2,29921492,29922920,PTHR10641//PTHR10641:SF503 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED (1 of 6)
Seita.1G161700,scaffold_1,22839593,22842225,PF00560//PF08263//PF13855 - Leucine Rich Repeat (LRR_1)  // Leucine rich repeat N-terminal domain (LRRNT_2)  // Leucine rich repeat (LRR_8)  (1 of 54)
Seita.7G185300,scaffold_7,26248923,26251906,
Seita.1G333000,scaffold_1,39133939,39136568,PTHR22811//PTHR22811:SF68 - TRANSMEMBRANE EMP24 DOMAIN-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 2)
Seita.8G217100,scaffold_8,37010707,37011484,PTHR23155//PTHR23155:SF485 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 6)
Seita.9G462900,scaffold_9,50818413,50819274,PF10313 - Uncharacterised protein domain (DUF2415) (DUF2415)  (1 of 1)
Seita.1G101800,scaffold_1,8832681,8834663,"K08495 - golgi SNAP receptor complex member 1 (GOSR1, GOS1)  (1 of 2)"
Seita.8G180400,scaffold_8,32591730,32592484,
Seita.6G115400,scaffold_6,18879927,18883517,
Seita.8G135700,scaffold_8,26264640,26270855,
Seita.1G077600,scaffold_1,7021706,7022671,PTHR11945:SF199 - AGAMOUS-LIKE MADS-BOX PROTEIN AGL61-RELATED (1 of 1)
Seita.6G137200,scaffold_6,24706783,24710775,
Seita.7G329800,scaffold_7,35658411,35663516,
Seita.4G267400,scaffold_4,38497877,38502291,PTHR23076//PTHR23076:SF60 - METALLOPROTEASE M41 FTSH // SUBFAMILY NOT NAMED (1 of 1)
Seita.6G124900,scaffold_6,21415321,21419887,"PTHR31846:SF10 - CHLOROPLASTIC GROUP IIA INTRON SPLICING FACILITATOR CRS1, CHLOROPLASTIC (1 of 1)"
Seita.1G116500,scaffold_1,10156870,10158326,PF00892 - EamA-like transporter family (EamA)  (1 of 63)
Seita.7G199100,scaffold_7,27158989,27164013,
Seita.9G426400,scaffold_9,48175317,48180315,"K09285 - AP2-like factor, ANT lineage (OVM, ANT)  (1 of 17)"
Seita.9G454900,scaffold_9,50233817,50238507,"K13414 - mitogen-activated protein kinase kinase kinase 1, plant (MEKK1P)  (1 of 3)"
Seita.3G174800,scaffold_3,12961414,12965083,
Seita.2G269200,scaffold_2,36926216,36929786,
Seita.2G322600,scaffold_2,41094234,41096791,PF01535//PF12854//PF13041 - PPR repeat (PPR)  // PPR repeat (PPR_1)  // PPR repeat family (PPR_2)  (1 of 31)
Seita.4G270500,scaffold_4,38748085,38752336,PTHR13009//PTHR13009:SF5 - HEAT SHOCK PROTEIN 90  HSP90  CO-CHAPERONE AHA-1 // SUBFAMILY NOT NAMED (1 of 2)
Seita.2G061100,scaffold_2,5101284,5103665,"PF04578//PF13968 - Protein of unknown function, DUF594 (DUF594)  // Domain of unknown function (DUF4220) (DUF4220)  (1 of 109)"
Seita.9G455600,scaffold_9,50307673,50310960,
Seita.9G479800,scaffold_9,51951892,51955174,"3.2.1.39 - Glucan endo-1,3-beta-D-glucosidase / Laminarinase (1 of 67)"
Seita.1G374300,scaffold_1,41800173,41802433,
Seita.3G151900,scaffold_3,10998544,11003332,
Seita.7G034700,scaffold_7,10956626,10958176,
Seita.3G400200,scaffold_3,49994466,50000494,PTHR23155//PTHR23155:SF579 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 20)
Seita.1G137700,scaffold_1,14072739,14081903,
Seita.6G184400,scaffold_6,30857887,30864228,
Seita.7G129200,scaffold_7,22257513,22263117,PTHR23076//PTHR23076:SF61 - METALLOPROTEASE M41 FTSH // SUBFAMILY NOT NAMED (1 of 1)
Seita.3G341400,scaffold_3,43809361,43810359,PF01419 - Jacalin-like lectin domain (Jacalin)  (1 of 25)
Seita.1G367500,scaffold_1,41454088,41456539,PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  (1 of 170)
Seita.1G249500,scaffold_1,32525740,32527350,
Seita.9G196800,scaffold_9,14060498,14061852,3.1.1.11 - Pectinesterase / Pectin methylesterase (1 of 53)
Seita.9G209500,scaffold_9,15082955,15086592,"PTHR23273//PTHR23273:SF10 - REPLICATION FACTOR A 1, RFA1 // SUBFAMILY NOT NAMED (1 of 2)"
Seita.9G386300,scaffold_9,44548498,44553681,PTHR10996:SF108 - D-ISOMER SPECIFIC 2-HYDROXYACID DEHYDROGENASE-LIKE PROTEIN (1 of 2)
Seita.4G014500,scaffold_4,942587,944623,PTHR13683//PTHR13683:SF330 - ASPARTYL PROTEASES // SUBFAMILY NOT NAMED (1 of 4)
Seita.1G217300,scaffold_1,29657575,29659060,
Seita.5G404500,scaffold_5,43124606,43126919,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1406)
Seita.6G103900,scaffold_6,13209522,13213637,PTHR10050 - DOLICHYL-PHOSPHATE-MANNOSE--PROTEIN MANNOSYLTRANSFERASE (1 of 2)
Seita.5G372200,scaffold_5,40842273,40845109,PF02178 - AT hook motif (AT_hook)  (1 of 2)
Seita.8G163900,scaffold_8,30588096,30588713,PTHR22763//PTHR22763:SF67 - RING ZINC FINGER PROTEIN // SUBFAMILY NOT NAMED (1 of 4)
Seita.5G429400,scaffold_5,44856919,44860500,PF05212 - Protein of unknown function (DUF707) (DUF707)  (1 of 17)
Seita.4G021300,scaffold_4,1401696,1404823,K01583 - arginine decarboxylase (E4.1.1.19)  (1 of 2)
Seita.3G320500,scaffold_3,39879763,39883251,
Seita.1G010800,scaffold_1,839259,841187,3.1.26.11 - Ribonuclease Z / tRNase Z (1 of 7)
Seita.5G146100,scaffold_5,12957074,12961823,2.3.2.15 - Glutathione gamma-glutamylcysteinyltransferase / Phytochelatin synthase (1 of 2)
Seita.3G374800,scaffold_3,47790167,47795647,K15208 - snRNA-activating protein complex subunit 1 (SNAPC1)  (1 of 2)
Seita.7G114600,scaffold_7,21317775,21318280,
Seita.5G253500,scaffold_5,31596313,31598833,PF04535 - Domain of unknown function (DUF588) (DUF588)  (1 of 44)
Seita.5G377400,scaffold_5,41121301,41128213,PTHR23355//PTHR23355:SF5 - RIBONUCLEASE // SUBFAMILY NOT NAMED (1 of 1)
Seita.9G484900,scaffold_9,52501315,52505676,"PTHR10788:SF48 - ALPHA,ALPHA-TREHALOSE-PHOSPHATE SYNTHASE [UDP-FORMING] 6 (1 of 2)"
Seita.8G155500,scaffold_8,29492596,29496608,PTHR23155//PTHR23155:SF628 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 11)
Seita.2G327600,scaffold_2,41502375,41508693,"PTHR10804//PTHR10804:SF107 - PROTEASE FAMILY M24  METHIONYL AMINOPEPTIDASE, AMINOPEPTIDASE P // SUBFAMILY NOT NAMED (1 of 1)"
Seita.1G126800,scaffold_1,11275977,11282319,PTHR23155//PTHR23155:SF624 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 10)
Seita.5G409800,scaffold_5,43484440,43485559,1.1.1.54//1.3.1.102 - Allyl-alcohol dehydrogenase // 2-alkenal reductase (NADP(+)) / NADPH-dependent alkenal/one oxidoreductase (1 of 1)
Seita.3G030300,scaffold_3,1849978,1861917,
Seita.2G302700,scaffold_2,39552641,39556039,PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  (1 of 170)
Seita.5G420500,scaffold_5,44264360,44265014,
Seita.2G057400,scaffold_2,4736044,4742722,PTHR10751:SF38 - GUANYLATE-BINDING FAMILY PROTEIN (1 of 2)
Seita.9G085900,scaffold_9,5141831,5143777,PTHR11926//PTHR11926:SF361 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED (1 of 4)
Seita.3G339100,scaffold_3,43366172,43371268,PTHR24006:SF442 - PROTEIN GADR-4 (1 of 2)
Seita.8G145700,scaffold_8,28124808,28129725,PTHR21229:SF28 - LUNG SEVEN TRANSMEMBRANE RECEPTOR-LIKE PROTEIN (1 of 1)
Seita.5G110300,scaffold_5,9279645,9287711,
Seita.8G085200,scaffold_8,10225106,10231221,PF00069//PF00560//PF08263 - Protein kinase domain (Pkinase)  // Leucine Rich Repeat (LRR_1)  // Leucine rich repeat N-terminal domain (LRRNT_2)  (1 of 8)
Seita.4G215400,scaffold_4,33369525,33372960,1.13.11.33 - Arachidonate 15-lipoxygenase / Arachidonate omega(6) lipoxygenase (1 of 1)
Seita.4G237000,scaffold_4,36088417,36092062,KOG4452 - Predicted membrane protein (1 of 1)
Seita.7G142100,scaffold_7,23178975,23180874,PTHR10666//PTHR10666:SF127 - UBIQUITIN // SUBFAMILY NOT NAMED (1 of 3)
Seita.6G003400,scaffold_6,244134,248342,PTHR22883:SF74 - PROTEIN S-ACYLTRANSFERASE 9-RELATED (1 of 1)
Seita.7G018900,scaffold_7,3629096,3631071,PF13912 - C2H2-type zinc finger (zf-C2H2_6)  (1 of 51)
Seita.3G123100,scaffold_3,8319456,8321248,
Seita.1G363800,scaffold_1,41227624,41228595,
Seita.4G030100,scaffold_4,1934249,1935246,PF03386 - Early nodulin 93 ENOD93 protein (ENOD93)  (1 of 8)
Seita.8G239300,scaffold_8,39300958,39304934,
Seita.9G570100,scaffold_9,58192655,58196848,
Seita.5G462700,scaffold_5,46857694,46858353,
Seita.4G154300,scaffold_4,21231792,21234372,
Seita.4G066700,scaffold_4,5105948,5108176,
Seita.1G284500,scaffold_1,35467886,35476158,"PTHR21262//PTHR21262:SF7 - GUANOSINE-3',5'-BIS DIPHOSPHATE  3'-PYROPHOSPHOHYDROLASE // SUBFAMILY NOT NAMED (1 of 1)"
Seita.9G446200,scaffold_9,49555769,49557401,"PTHR11260//PTHR11260:SF261 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED (1 of 4)"
Seita.6G211400,scaffold_6,32933407,32935552,2.4.1.223 - Glucuronyl-galactosyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase / acetylglucosaminyltransferase (1 of 2)
Seita.3G298400,scaffold_3,33527521,33529802,1.1.1.314 - Germacrene A alcohol dehydrogenase (1 of 2)
Seita.7G270600,scaffold_7,32233877,32238145,
Seita.5G152000,scaffold_5,13554806,13557488,PTHR12565//PTHR12565:SF181 - STEROL REGULATORY ELEMENT-BINDING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Seita.5G292300,scaffold_5,34945941,34951099,
