Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
Sevir.6G125454,Chr_06,19845643,19848910,
Sevir.9G309100,Chr_09,34145191,34149732,
Sevir.1G304500,Chr_01,36175652,36176641,(1 of 4) PTHR11042 - EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE  EIF2-ALPHA KINASE -RELATED
Sevir.4G249500,Chr_04,35380413,35381801,(1 of 5) PF05553//PF14364 - Cotton fibre expressed protein (DUF761) // Domain of unknown function (DUF4408) (DUF4408)
Sevir.3G373600,Chr_03,45509369,45512253,(1 of 5) PTHR10706//PTHR10706:SF128 - F-BOX FAMILY PROTEIN // SUBFAMILY NOT NAMED
Sevir.7G037558,Chr_07,234811,235525,"(1 of 21) PF04504 - Protein of unknown function, DUF573 (DUF573)"
Sevir.6G229600,Chr_06,33965926,33967864,(1 of 1) PTHR15663//PTHR15663:SF4 - FAMILY NOT NAMED // COMM DOMAIN-CONTAINING PROTEIN 9
Sevir.3G360000,Chr_03,43972999,43974022,
Sevir.5G080800,Chr_05,6433094,6434238,
Sevir.9G165800,Chr_09,11144091,11144390,
Sevir.1G015851,Chr_01,1345747,1346893,(1 of 3) 2.7.10.1//2.7.10.2//2.7.11.1 - Receptor protein-tyrosine kinase / Receptor protein tyrosine kinase // Non-specific protein-tyrosine kinase / Cytoplasmic protein tyrosine kinase // Non-specific serine/threonine protein kinase / Threonine-specific protein kinase
Sevir.8G086100,Chr_08,9921856,9922457,
Sevir.4G214400,Chr_04,31533338,31537212,
Sevir.7G126000,Chr_07,20581299,20584318,(1 of 20) PF01535//PF13812 - PPR repeat (PPR) // Pentatricopeptide repeat domain (PPR_3)
Sevir.3G232101,Chr_03,17826709,17828999,(1 of 2) PTHR22849//PTHR22849:SF21 - WDSAM1 PROTEIN // SUBFAMILY NOT NAMED
Sevir.2G208200,Chr_02,28837659,28839043,(1 of 6) PTHR10641//PTHR10641:SF503 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED
Sevir.1G106200,Chr_01,9148783,9152759,"(1 of 3) K12893 - splicing factor, arginine/serine-rich 4/5/6 (SFRS4_5_6)"
Sevir.9G506000,Chr_09,51243688,51249431,(1 of 3) PF12854//PF13041//PF13812 - PPR repeat (PPR_1) // PPR repeat family (PPR_2) // Pentatricopeptide repeat domain (PPR_3)
Sevir.7G090900,Chr_07,17924023,17929705,(1 of 3) K15979 - staphylococcal nuclease domain-containing protein 1 (SND1)
Sevir.1G109066,Chr_01,9346804,9347358,
Sevir.6G223200,Chr_06,33531666,33535953,(1 of 17) PF00651//PF00917 - BTB/POZ domain (BTB) // MATH domain (MATH)
Sevir.3G122800,Chr_03,8138581,8143707,(1 of 1) PTHR24031//PTHR24031:SF246 - RNA HELICASE // DEAD-BOX ATP-DEPENDENT RNA HELICASE 15
Sevir.8G177566,Chr_08,31119158,31120381,(1 of 14) PF13041//PF13812 - PPR repeat family (PPR_2) // Pentatricopeptide repeat domain (PPR_3)
Sevir.6G002700,Chr_06,250375,252138,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2)
Sevir.3G044800,Chr_03,2797882,2803859,"(1 of 1) K11671 - nuclear factor related to kappa-B-binding protein (NFRKB, INO80G)"
Sevir.2G350300,Chr_02,41154250,41160322,(1 of 19) K04733 - interleukin-1 receptor-associated kinase 4 (IRAK4)
Sevir.5G349500,Chr_05,38432560,38434443,"(1 of 1) K11884 - RNA-binding protein PNO1 (PNO1, DIM2)"
Sevir.2G078200,Chr_02,6555498,6558807,
Sevir.7G340509,Chr_07,35279534,35279875,
Sevir.9G584100,Chr_09,55419851,55424558,
Sevir.9G433666,Chr_09,46033140,46036188,(1 of 2) K05953 - nicotianamine synthase (E2.5.1.43)
Sevir.2G376700,Chr_02,42833609,42838011,
Sevir.7G266500,Chr_07,30156452,30159934,
Sevir.6G009400,Chr_06,639126,649134,
Sevir.1G008000,Chr_01,510944,517397,
Sevir.3G178100,Chr_03,12618089,12621475,
Sevir.3G109000,Chr_03,7122954,7129131,
Sevir.5G249200,Chr_05,29886923,29892157,
Sevir.2G389900,Chr_02,43729833,43730830,
Sevir.4G217401,Chr_04,31858660,31858764,
Sevir.3G370900,Chr_03,45023495,45028252,
Sevir.7G079500,Chr_07,16798246,16798795,
Sevir.4G158300,Chr_04,29922430,29932030,
Sevir.7G296100,Chr_07,32309065,32310477,
Sevir.9G408500,Chr_09,44015517,44019141,(1 of 2) PTHR21493//PTHR21493:SF99 - CGI-141-RELATED/LIPASE CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Sevir.8G219600,Chr_08,35967915,35970480,(1 of 30) 1.14.13.121 - Premnaspirodiene oxygenase / Hyoscymus muticus premnaspirodiene oxygenase
Sevir.3G235600,Chr_03,18117124,18118190,(1 of 23) PF06749 - Protein of unknown function (DUF1218) (DUF1218)
Sevir.5G241200,Chr_05,29139813,29142761,(1 of 1) 1.14.13.173//1.3.3.9 - 11-oxo-beta-amyrin 30-oxidase / CYP72A154 // Secologanin synthase
Sevir.7G138300,Chr_07,21437960,21442933,
Sevir.2G374650,Chr_02,42729674,42730966,
Sevir.3G392000,Chr_03,47301916,47305335,
Sevir.8G227700,Chr_08,37009500,37011387,
Sevir.1G081800,Chr_01,7375695,7382685,(1 of 1) K15542 - polyadenylation factor subunit 2 (PFS2)
Sevir.5G309100,Chr_05,35454774,35459088,"(1 of 3) PTHR11266//PTHR11266:SF37 - PEROXISOMAL MEMBRANE PROTEIN 2, PXMP2  MPV17 // EXPRESSED PROTEIN"
Sevir.1G275000,Chr_01,34008871,34012528,
Sevir.5G457800,Chr_05,45599533,45605315,"(1 of 1) PTHR10302:SF8 - PROTEIN OSB2, CHLOROPLASTIC-RELATED"
Sevir.2G249100,Chr_02,33239739,33243869,(1 of 3) PTHR11206//PTHR11206:SF150 - MULTIDRUG RESISTANCE PROTEIN // SUBFAMILY NOT NAMED
Sevir.8G195800,Chr_08,33542259,33548097,(1 of 2) 1.18.1.6 - Adrenodoxin-NADP(+) reductase / Nicotinamide adenine dinucleotide phosphate-adrenodoxin reductase
Sevir.3G324900,Chr_03,38037787,38038074,
Sevir.4G056200,Chr_04,4340921,4343818,(1 of 22) PF07714//PF13947 - Protein tyrosine kinase (Pkinase_Tyr) // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)
Sevir.7G295900,Chr_07,32298439,32299385,(1 of 3) PTHR21495//PTHR21495:SF75 - NUCLEOPORIN-RELATED // SUBFAMILY NOT NAMED
Sevir.7G042100,Chr_07,2160530,2162395,(1 of 1) PF05680 - ATP synthase E chain (ATP-synt_E)
Sevir.5G402600,Chr_05,42034911,42039756,(1 of 1) K06276 - 3-phosphoinositide dependent protein kinase-1 (PDPK1)
Sevir.3G061099,Chr_03,3939971,3940066,
Sevir.3G099200,Chr_03,6537121,6541357,
Sevir.8G207901,Chr_08,34634157,34637531,(1 of 39) PTHR23155//PTHR23155:SF484 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Sevir.4G226500,Chr_04,32863005,32865782,(1 of 45) PF01535//PF13041//PF14432 - PPR repeat (PPR) // PPR repeat family (PPR_2) // DYW family of nucleic acid deaminases (DYW_deaminase)
Sevir.2G274800,Chr_02,35407853,35411691,(1 of 2) PF14780 - Domain of unknown function (DUF4477) (DUF4477)
Sevir.1G323500,Chr_01,37394643,37398329,(1 of 11) K13947 - auxin efflux carrier family (PIN)
Sevir.3G295800,Chr_03,26213147,26215588,
Sevir.7G306300,Chr_07,33185165,33189341,(1 of 2) PTHR13690:SF86 - TRANSCRIPTION FACTOR VIP1
Sevir.7G054100,Chr_07,13592066,13594204,(1 of 4) PTHR11440//PTHR11440:SF49 - LECITHIN-CHOLESTEROL ACYLTRANSFERASE-RELATED // SUBFAMILY NOT NAMED
Sevir.1G204750,Chr_01,28010246,28010482,
Sevir.2G007900,Chr_02,658011,658838,(1 of 3) PTHR13620//PTHR13620:SF12 - 3-5 EXONUCLEASE // SUBFAMILY NOT NAMED
Sevir.5G365700,Chr_05,39461208,39464826,(1 of 1) PTHR24326//PTHR24326:SF220 - FAMILY NOT NAMED // WUSCHEL-RELATED HOMEOBOX 13
Sevir.3G131200,Chr_03,8794148,8797396,(1 of 2) PTHR10460//PTHR10460:SF13 - ABL INTERACTOR // SUBFAMILY NOT NAMED
Sevir.8G100500,Chr_08,12430549,12444277,
Sevir.9G555500,Chr_09,54431166,54432024,
Sevir.7G247000,Chr_07,28960141,28962711,"(1 of 2) 1.3.1.34 - 2,4-dienoyl-CoA reductase (NADPH) / 4-enoyl-CoA reductase (NADPH)"
Sevir.5G141500,Chr_05,12093335,12101990,
Sevir.7G219100,Chr_07,27060244,27061234,(1 of 1) PTHR11467//PTHR11467:SF53 - HISTONE H1/H5 // SUBFAMILY NOT NAMED
Sevir.1G036330,Chr_01,3501718,3503969,(1 of 2) PTHR24423//PTHR24423:SF550 - TWO-COMPONENT SENSOR HISTIDINE KINASE // SUBFAMILY NOT NAMED
Sevir.1G075600,Chr_01,6914295,6918742,(1 of 1416) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase
Sevir.4G201900,Chr_04,30242590,30246196,(1 of 3) 1.1.1.95 - Phosphoglycerate dehydrogenase / Phosphoglyceric acid dehydrogenase
Sevir.7G290500,Chr_07,31946988,31952791,
Sevir.2G310900,Chr_02,38201925,38206153,
Sevir.3G062000,Chr_03,4002910,4003733,
Sevir.9G168450,Chr_09,11402442,11403516,
Sevir.1G036215,Chr_01,3403037,3407399,(1 of 58) PF00069//PF08263//PF13855 - Protein kinase domain (Pkinase) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)
Sevir.3G274600,Chr_03,22772647,22776266,
Sevir.5G440500,Chr_05,44610567,44610917,"(1 of 15) PTHR25952:SF191 - PROTEIN T12G3.2, ISOFORM D"
Sevir.9G051400,Chr_09,3032755,3036974,(1 of 1) PTHR23284//PTHR23284:SF3 - PROLACTIN REGULATORY ELEMENT BINDING PROTEIN // SUBFAMILY NOT NAMED
Sevir.3G349800,Chr_03,42633101,42634873,
Sevir.3G023875,Chr_03,1532995,1533222,
Sevir.2G172100,Chr_02,23900759,23903982,
Sevir.2G209000,Chr_02,28996846,29000496,(1 of 40) PF14009 - Domain of unknown function (DUF4228) (DUF4228)
Sevir.4G218000,Chr_04,31909864,31912121,(1 of 85) PF02362 - B3 DNA binding domain (B3)
Sevir.2G315100,Chr_02,38625392,38637652,(1 of 1) PTHR22884//PTHR22884:SF351 - SET DOMAIN PROTEINS // SUBFAMILY NOT NAMED
Sevir.5G069300,Chr_05,5498870,5500189,
Sevir.9G467000,Chr_09,48468731,48472848,(1 of 2) PTHR10032//PTHR10032:SF211 - ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS // SUBFAMILY NOT NAMED
Sevir.8G225821,Chr_08,36880290,36886203,(1 of 2) PF04665 - Poxvirus A32 protein (Pox_A32)
Sevir.9G414000,Chr_09,44419669,44422957,(1 of 1) PTHR10791//PTHR10791:SF35 - RAG1-ACTIVATING PROTEIN 1 // SUBFAMILY NOT NAMED
Sevir.6G027800,Chr_06,2114930,2116058,
Sevir.4G160900,Chr_04,19471999,19494037,(1 of 12) PTHR23336 - ZINC FINGER CW-TYPE COILED-COIL DOMAIN PROTEIN 3.
Sevir.8G146100,Chr_08,26186248,26201243,(1 of 2) K01191 - alpha-mannosidase (E3.2.1.24)
Sevir.8G193500,Chr_08,33248817,33253209,(1 of 4) PTHR23155//PTHR23155:SF495 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Sevir.5G468000,Chr_05,46224227,46228792,(1 of 2) PTHR11736 - MELANOMA-ASSOCIATED ANTIGEN  MAGE ANTIGEN
Sevir.9G562100,Chr_09,54914312,54915914,"(1 of 34) PF04844 - Transcriptional repressor, ovate (Ovate)"
Sevir.1G342900,Chr_01,38967020,38970599,(1 of 1) PTHR10314:SF79 - DOF-TYPE TRANSCRIPTION FACTOR TMO6
Sevir.8G162200,Chr_08,29179376,29181190,(1 of 180) KOG0156 - Cytochrome P450 CYP2 subfamily
Sevir.5G006500,Chr_05,506549,510736,(1 of 21) PF12274 - Protein of unknown function (DUF3615) (DUF3615)
Sevir.6G245100,Chr_06,35267897,35268785,(1 of 3) PTHR19321//PTHR19321:SF5 - PROTEIN REGULATOR OF CYTOKINESIS 1 PRC1-RELATED // 65-KDA MICROTUBULE-ASSOCIATED PROTEIN 6-RELATED
Sevir.6G023160,Chr_06,1701636,1704717,
Sevir.9G012200,Chr_09,651889,655224,
Sevir.4G205400,Chr_04,30552614,30554937,(1 of 110) PF00226 - DnaJ domain (DnaJ)
Sevir.4G062600,Chr_04,4982589,4983374,
Sevir.1G260000,Chr_01,32876700,32884324,
Sevir.2G398550,Chr_02,44264995,44266274,
Sevir.4G218200,Chr_04,31923463,31927007,(1 of 1) K06001 - tryptophan synthase beta chain (trpB)
Sevir.7G195700,Chr_07,25311694,25312457,
Sevir.3G134100,Chr_03,8979051,8980981,
Sevir.8G225700,Chr_08,36824473,36825084,
Sevir.2G387300,Chr_02,43567160,43570275,
Sevir.1G322500,Chr_01,37312700,37316170,(1 of 1) KOG4401 - Uncharacterized conserved protein
Sevir.4G166700,Chr_04,17862039,17862865,
Sevir.2G313000,Chr_02,38374573,38377765,(1 of 2) PTHR33414//PTHR33414:SF2 - FAMILY NOT NAMED // PLASTID MOVEMENT IMPAIRED1
Sevir.2G104200,Chr_02,9376338,9377501,(1 of 10) PTHR11926//PTHR11926:SF217 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED
Sevir.7G064400,Chr_07,14977743,14983877,"(1 of 2) K12860 - pre-mRNA-splicing factor CDC5/CEF1 (CDC5L, CDC5, CEF1)"
Sevir.1G222200,Chr_01,29628754,29630634,(1 of 2) PF16974 - High-affinity nitrate transporter accessory (NAR2)
Sevir.4G244400,Chr_04,34768028,34771544,
Sevir.2G251200,Chr_02,33417400,33423150,
Sevir.9G298500,Chr_09,32057150,32058637,(1 of 6) PTHR23155//PTHR23155:SF509 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Sevir.4G292000,Chr_04,38696129,38700317,(1 of 1) PTHR21230//PTHR21230:SF27 - VESICLE TRANSPORT V-SNARE PROTEIN VTI1-RELATED // NOVEL PLANT SNARE 11
Sevir.9G307700,Chr_09,34001593,34005067,
Sevir.9G557900,Chr_09,54618876,54625626,(1 of 1) PTHR11216//PTHR11216:SF72 - EH DOMAIN // CALCIUM-BINDING EF HAND-CONTAINING PROTEIN
Sevir.4G274500,Chr_04,37241384,37245528,(1 of 1) PTHR11709//PTHR11709:SF72 - MULTI-COPPER OXIDASE // SUBFAMILY NOT NAMED
Sevir.4G237800,Chr_04,33991243,33997160,(1 of 2) PTHR11477//PTHR11477:SF8 - TRANSCRIPTION ELONGATION FACTOR S-II // SUBFAMILY NOT NAMED
Sevir.6G092450,Chr_06,9204450,9205123,
Sevir.1G132200,Chr_01,12712712,12719146,(1 of 1) PTHR10638:SF39 - AMINE OXIDASE-RELATED
Sevir.9G085500,Chr_09,5220539,5222106,
Sevir.9G058500,Chr_09,3465036,3466104,
Sevir.9G073000,Chr_09,4364101,4366277,
Sevir.8G015400,Chr_08,1054835,1058740,(1 of 1) PTHR31934:SF4 - ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN
Sevir.9G205900,Chr_09,14742623,14745721,(1 of 1) K15685 - E3 ubiquitin-protein ligase Hakai [EC:6.3.2.19] (CBLL1)
Sevir.9G421600,Chr_09,45083589,45086833,(1 of 131) PF02365 - No apical meristem (NAM) protein (NAM)
Sevir.6G216800,Chr_06,33116028,33121351,
Sevir.3G258200,Chr_03,20682042,20685340,
Sevir.7G286701,Chr_07,31668814,31675442,(1 of 10) 4.2.3.104 - Alpha-humulene synthase / ZSS1
Sevir.2G324600,Chr_02,39323603,39327511,(1 of 1) PTHR22835//PTHR22835:SF252 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Sevir.1G252700,Chr_01,32152623,32157936,(1 of 2) PTHR14221//PTHR14221:SF6 - WD REPEAT DOMAIN 44 // SUBFAMILY NOT NAMED
Sevir.8G007900,Chr_08,628883,633176,
Sevir.2G389000,Chr_02,43673484,43688389,(1 of 1) PTHR10799//PTHR10799:SF741 - SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED // HELICASE PROTEIN MOM1-RELATED
Sevir.2G165200,Chr_02,22444958,22452766,
Sevir.5G374400,Chr_05,40064195,40065974,(1 of 3) PTHR11730//PTHR11730:SF38 - AMMONIUM TRANSPORTER // AMMONIUM TRANSPORTER 2
Sevir.9G434400,Chr_09,46087212,46101877,
Sevir.2G001900,Chr_02,292847,295331,
Sevir.1G301600,Chr_01,35989089,35993892,(1 of 1) 1.14.19.6 - Delta(12)-fatty-acid desaturase / Oleoyl-CoA Delta(12) desaturase
Sevir.5G043000,Chr_05,3381144,3383772,(1 of 27) PF00646//PF08387 - F-box domain (F-box) // FBD (FBD)
Sevir.6G255000,Chr_06,35940115,35943186,
Sevir.9G545332,Chr_09,53790795,53790941,
Sevir.9G331400,Chr_09,36628367,36630356,
Sevir.2G276900,Chr_02,35592619,35598177,(1 of 19) PF03110 - SBP domain (SBP)
Sevir.3G224600,Chr_03,16834136,16836791,
Sevir.8G145300,Chr_08,26080872,26086445,
Sevir.9G554200,Chr_09,54369993,54371708,"(1 of 2) PTHR11260//PTHR11260:SF287 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED"
Sevir.9G033600,Chr_09,1884536,1887785,(1 of 2) PTHR24073//PTHR24073:SF561 - FAMILY NOT NAMED // GTP-BINDING PROTEIN ARA-3-RELATED
Sevir.3G028700,Chr_03,1834927,1838781,(1 of 1) PTHR23354//PTHR23354:SF67 - NUCLEOLAR PROTEIN 7/ESTROGEN RECEPTOR COACTIVATOR-RELATED // TLD-DOMAIN CONTAINING NUCLEOLAR PROTEIN
Sevir.9G287100,Chr_09,29489784,29501394,
Sevir.9G526200,Chr_09,52573810,52575156,(1 of 1) PTHR31241//PTHR31241:SF3 - FAMILY NOT NAMED // DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2F
Sevir.2G059400,Chr_02,4826080,4827866,(1 of 40) PTHR23155//PTHR23155:SF629 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED
Sevir.7G080901,Chr_07,16922666,16933477,
Sevir.8G038000,Chr_08,2743567,2759256,
Sevir.2G398600,Chr_02,44270044,44273262,(1 of 2) PTHR21229:SF15 - LUNG SEVEN TRANSMEMBRANE RECEPTOR-LIKE PROTEIN
Sevir.4G174400,Chr_04,15991636,15992332,(1 of 5) PF03760 - Late embryogenesis abundant (LEA) group 1 (LEA_1)
Sevir.1G236400,Chr_01,30683518,30686381,
Sevir.3G206200,Chr_03,14981022,14982404,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2)
Sevir.7G046600,Chr_07,12122539,12127224,
Sevir.8G160700,Chr_08,28996898,28999984,(1 of 8) KOG3399 - Predicted Yippee-type zinc-binding protein
Sevir.8G151500,Chr_08,27523128,27525825,(1 of 13) PF09335 - SNARE associated Golgi protein (SNARE_assoc)
Sevir.2G373200,Chr_02,42631862,42633162,
Sevir.7G028600,Chr_07,11783157,11784224,(1 of 4) PTHR24056//PTHR24056:SF186 - CELL DIVISION PROTEIN KINASE // SUBFAMILY NOT NAMED
Sevir.4G142900,Chr_04,27182841,27184277,
Sevir.1G172400,Chr_01,24298345,24300895,"(1 of 1) K01652 - acetolactate synthase I/II/III large subunit (E2.2.1.6L, ilvB, ilvG, ilvI)"
Sevir.3G120800,Chr_03,8012567,8017751,(1 of 52) PF00069//PF00560//PF08263//PF13855 - Protein kinase domain (Pkinase) // Leucine Rich Repeat (LRR_1) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)
Sevir.8G050400,Chr_08,4104482,4109203,
Sevir.3G309800,Chr_03,32165139,32169967,
Sevir.4G104000,Chr_04,9292312,9294691,
Sevir.7G225200,Chr_07,27516676,27519856,(1 of 1) PTHR14659:SF1 - ALPHA- AND GAMMA-ADAPTIN-BINDING PROTEIN P34
Sevir.2G207800,Chr_02,28816040,28817188,(1 of 26) PF08263//PF13855 - Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)
Sevir.3G187400,Chr_03,13427660,13429234,(1 of 1) PTHR13683//PTHR13683:SF264 - ASPARTYL PROTEASES // ASPARTYL PROTEASE FAMILY PROTEIN
Sevir.4G157500,Chr_04,29878077,29885745,(1 of 17) PF00069//PF13855 - Protein kinase domain (Pkinase) // Leucine rich repeat (LRR_8)
Sevir.7G141800,Chr_07,21683896,21684816,(1 of 26) PF02469 - Fasciclin domain (Fasciclin)
Sevir.3G005300,Chr_03,299831,302762,(1 of 64) PF00892 - EamA-like transporter family (EamA)
Sevir.6G050700,Chr_06,4322074,4325748,(1 of 1) PTHR31747//PTHR31747:SF1 - FAMILY NOT NAMED // PROTEIN LOL1
Sevir.5G077800,Chr_05,6232207,6238753,
Sevir.6G211900,Chr_06,32740327,32741889,
Sevir.3G420100,Chr_03,49822853,49826861,
